Seed,Target,Neuronal tracer-based structural connectivity strength,Diffusion-based structural connectivity strength,Functional connectivity strength (Z’),Euclidean distance (mm),Connection type (network),Connection type (regional)
Right LO,Right DLEnt,0.5,0.2,0.19,12.49,Default mode network to another network,Intrahemispheric right
Right VO,Right DLEnt,0.9,0.3,0.23,12.85,Default mode network to another network,Intrahemispheric right
Left MO,Left DLEnt,1.0,0.2,0.25,13.99,Default mode network to another network,Intrahemispheric left
Right MO,Right DLEnt,1.0,0.1,0.26,14.0,Default mode network to another network,Intrahemispheric right
Left FrA,Left PRh,1.05,0.2,0.28,13.11,No,Intrahemispheric left
Right RSGb,Right FrA,0.5,0.2,0.33,11.97,Default mode network to another network,Intrahemispheric right
Right FrA,Right PRh,1.05,0.2,0.37,13.1,No,Intrahemispheric right
Left RSGb,Left FrA,0.5,0.5,0.39,11.95,Default mode network to another network,Intrahemispheric left
Right RSGc,Right FrA,0.5,0.4,0.4,10.26,Default mode network to another network,Intrahemispheric right
Left Cg2,Left AIP,0.5,0.3,0.41,7.61,Default mode network to another network,Intrahemispheric left
Left Cg1,Left AIP,0.5,0.1,0.43,8.5,Default mode network to another network,Intrahemispheric left
Left Cg2,Left PRh,1.0,0.2,0.44,9.54,Default mode network to another network,Intrahemispheric left
Left PRh,Left Cg2,1.0,0.2,0.44,9.54,Default mode network to another network,Intrahemispheric left
Right S1DZ,Left FrA,1.0,0.1,0.45,8.66,Sensorimotor network to another network,Heterotopic interhemispheric
Right FrA,Left AIV,1.13,0.3,0.45,7.12,No,Heterotopic interhemispheric
Left AIP,Right M1,0.74,0.2,0.45,11.15,Sensorimotor network to another network,Heterotopic interhemispheric
Left RSGc,Left FrA,0.5,0.4,0.46,10.24,Default mode network to another network,Intrahemispheric left
Left FrA,Right AIV,1.13,0.1,0.46,7.11,No,Heterotopic interhemispheric
Left Cg1,Left PRh,1.0,0.2,0.46,10.58,Default mode network to another network,Intrahemispheric left
Left PRh,Left Cg1,0.75,0.2,0.46,10.58,Default mode network to another network,Intrahemispheric left
Right S2,Left AIP,0.75,0.1,0.47,12.64,Sensorimotor network to another network,Heterotopic interhemispheric
Right RSGb,Left MO,0.5,0.1,0.47,11.36,Within default mode network,Heterotopic interhemispheric
Left RSGb,Right VO,0.5,0.1,0.47,10.9,Within default mode network,Heterotopic interhemispheric
