Region,Mean X,Mean Y,Mean Z,Std. Dev X,Std. Dev Y,Std. Dev Z,Cluster size (Voxels)
R INS,44.05,− 6.81,1.48,6.14,3.61,3.46,993
R INS,36.20,− 15.13,14.11,2.22,8.21,5.61,1753
R DLPFC,24.01,22.45,7.99,2.76,5.29,2.65,498
R SSC2,8.40,− 54.54,57.95,4.44,5.31,3.06,944
R THLMS,5.10,− 13.99,3.07,7.84,6.6,5.61,3462
R ACC,− 4.08,− 5.08,39.15,6.13,15.07,3.86,4797
R PONS,0.76,− 25.31,− 20.39,2.75,5.32,4.23,1076
L BA11,− 30.80,8.05,− 0.19,11.25,7.89,10.25,"11,841"
L THLMS,− 23.76,− 21.65,− 3.58,7.94,2.66,3.84,1366
L PFC,− 32.95,31.70,30.25,3.55,5.31,3.87,871
