Reference,"Sample size, sex ratio (M:F), age (years)",Study design,"TBS protocol, parametersa, Stimulation Intensity",Method for locating target site[active control],Outcome Protocol[Time to return to scanner]ParadigmSummary of results
TBS to the motor cortex,TBS to the motor cortex,TBS to the motor cortex,TBS to the motor cortex,TBS to the motor cortex,TBS to the motor cortex
Agnew et al. (???),N = 1623–49 years b,"Pretest–posttest, within-subjects",cTBS; Total pulses: 30040% MSO,"Neuronavigation (anatomical/coordinate)– (R) ventral premotor cortex (MNI = 54, − 2, 44)– [vertex]: middle of nasion and inion","Task (auditory emotion)-based fMRI[fMRI 5 min post cTBS]BOLDNo effects at target site or contralateral homologue↑ at a (R) post- and pre-central gyri↑ inferior frontal gyrus (pars opercularis and triangularis), (L) supplementary motor area, cerebellar vermis, (R) parahippocampal gyrus, bilateral inferior parietal lobe (angular gyrus), bilateral superior and right middle frontal gyri and (R) postcentral gyrus↓ (L) hippocampus, (R) middle cingulate cortex, (R)precuneus, (L) supramarginal gyrus, (R) supplementary motor area, (R) inferior frontal gyrus (pars triangularis) and (R) rolandic operculum"
Annak et al. (???),N = 16 (6:10)23.8 ± 2.3,"Pretest–posttest, within-subjects, sham-controlled",cTBS80% AMT,Neuronavigation (functional activation):– (L) primary motor cortex; FDI representation– (L) secondary somatosensory cortex,"Task (nociceptive stimulation; chemosensory pain model)-based fMRI[time to return to scanner unclear/not reported]BOLD(L) primary motor cortex: ↓ BOLD at rolandic operculum, insula and postcentral gyrusStrength of relationship between BOLD signal and stimulus strength reduced post cTBS to (L) primary motor cortexNo effects of stimulation to (L) secondary somatosensory cortex"
Cárdenas-Morales et al. (???),N = 17 (17:0)27.3 ± 2.6,"Pretest–posttest, within-subjects",iTBS90% AMT,Hot-spot– (L) primary motor cortex; APB representation,"Task (choice reaction)-based and resting-state fMRI[immediate]BOLD and CBFTask: ↓ BOLD at (L) primary motor cortex, and (R) primary motor cortex, primary somatosensory cortex, rostral parts of (R) superior and inferior parietal gyrus, and the (R) premotor areaNo effects at rest"
Cocchi et al. (???),N = 23 (11:12)23.0 ± 3.0,"Pretest–posttest, within-subjects",cTBSiTBS80% AMT,Hot-spot– (R) primary motor cortex; APB,"Resting-state fMRI[5 min]Functional ConnectivitycTBS: ↓ participation index (PI) and ↑ within module degree (WMD) at motor and somatosensory cortices, ↑ PI and ↓ WMD at insula, striatum, and (L) temporal cortexiTBS: No effects of iTBS on PI or WMD"
Hu et al. (???),N = 36 (17:19)20–34 yearsb,"Pretest–posttest, within-subjects",cTBS70% RMT,Hot-Spot– (R) primary motor cortex; FDI,"Resting-state fMRI[30 min]Functional connectivityBilaterally ↓ ALFF, fALFF and ReHO along the postcentral gyrus at sites controlling the (L) face and limbs and (L) and (R) trunk"
Ji et al. (???),N = 19 (6:13) 22.7 ± 2.1,"Pretest–posttest, within-subjects","cTBS (3 runs, 15 min apart)70% RMT","Neuronavigation (anatomical/coordinate)– (L) supplementary motor area (MNI = − 6, − 6, 77)","Resting-state fMRI[immediate]BOLD and Functional ConnectivityNo local effects↓ rsFC at the (L) inferior frontal gyrus, and (L) supplementary motor area/middle cingulate cortex, maintained for 6.1 min in the (L) inferior frontal gyrus and 6.6 min in the (L) supplementary motor area/middle cingulate cortex"
Ji et al. (???),Primary study: N = 33 (17:16)Secondary (validation) study: N = (11:5) 20.4 ± 0.51,"Pretest–posttest, between-subjects, sham controlled (validation study)","cTBS: 3 runs, 15 min apart70% RMT","Neuronavigation (anatomical/coordinate)(L) supplementary motor area(MNI = − 6, − 6, 77)",Resting-state fMRI[immediate]Functional ConnectivityPrimary study: ↓ rsFC at the bilateral cerebellum immediately post stimulation (T2). ↑ rsFC at the paracentral gyrus at T3 (immediately post T2)Validation study: ↑ rsFC at the paracentral gyrus at T3 (immediately post T2)
Matusa et al. (???),N = 2527–43 years,"Pre-test – posttest, within subjects",cTBS80% AMT,Hot-spot– (L) primary motor cortex; APB,Resting-state fMRI[15 min]Network activityNo difference in resting state network activity per-post cTBS
Nettekoven et al. (???),N = 16 (7:9)27.0 ± 3.0,"Pretest–posttest, sham-controlled, within-subjects, repeated measured (time-points)","iTBS: 3 runs, 15 min apart70% RMT",Hot-spot– (L) primary motor cortex; APB,"Resting-state fMRI[~ 3 min]Functional connectivity↑ rsFC between primary motor cortex and various sensorimotor regions, with local maxima consistently at bilateral supplementary motor area and dorsal premotor cortex (superior frontal sulcus) across blocks, and less consistently in parts of the somatosensory and superior parietal cortices. No effects in a control (visual) networkDose dependency: primary motor cortex-dorsal premotor cortex connectivity was significantly higher after iTBS1800 compared with iTBS600 and iTBS1200, but not between iTBS600 and iTBS1200, and shamSupplementary control experiment: iTBS1800 = ↑rsFC between primary motor cortex and bilateral supplementary motor area, dorsal premotor cortex, and parts of the somatosensory and superior parietal cortex when compared to iTBS600 followed by 2 sham runs, supporting the notion of a cumulative (dosage) effect, rather than delayed effect of a single dose of iTBS"
