DMN regions (or nodes),Abbreviations
"Left and right superior frontal gyrus, orbital part","ORBsub.L, ORBsub.R"
Left and right middle frontal gyrus,"MFG.L, MFG.R"
"Left and right inferior frontal gyrus, orbital part","ORBinf.L, ORBinf.R"
"Left and right superior frontal gyrus, medial","SFGmed.L, SFGmed.R"
"Left and right superior orbital frontal gyrus, medial","ORBsupmed.L, ORBsupmed.R"
Left and right anterior cingulate and paracingulate gyri,"ACG.L, ACG.R"
Left and right median cingulate and paracingulate gyri,"DCG.L, DCG.R"
Left and right posterior cingulate gyrus,"PCG.L, PCG.R"
Left and right hippocampus,"HIP.L, HIP.R"
Left and right parahippocampal gyrus,"PHG.L, PHG.R"
Left and right inferior parietal lobule,"IPL.L, IPL.R"
Left and right angular gyrus,"ANG.L, ANG.R"
Left and right precuneus,"PCUN.L, PCUN.R"
Left and right middle temporal gyrus,"MTG.L, MTG.R"
Left and right temporal gyrus pole: middle temporal,"TPOmid.L, TPOmid.R"
Left and right inferior temporal gyrus,"ITG.L, ITG.R"
