Unnamed: 0,Screened for eligibility1,Completed Screening,Enrolled in Study,Completed Study
N,320,139,41,18
"Sex, no. (%)",,,,
Male,232 (73%),85 (61%),26 (63%),11 (61%)
Female,88 (28%),54 (39%),15 (37%),7 (39%)
"MCI diagnosis, no. (%)",–,40 (29%),10 (24%),5 (28%)
"SMD, no. (%)",–,87 (63%),31 (76%),13 (72%)
"Age, mean (SD)",–,72.0 (11.0),73.1 (9.8),75.6 (9.1)
"Education, mean (SD), y",–,15.7 (2.8),15.5 (2.1),14.8 (2.5)
"Race, no. (%)",,,,
Caucasian,–,99 (71%),31 (76%),16 (89%)
Asian/Pacific Islander,–,10 (7%),4 (10%),2 (11%)
Hispanic or Latino,–,14 (10%),1 (2%),1 (6%)
African American,–,18 (13%),5 (12%),0 (0%)
Other,–,16 (12%),4 (10%),2 (11%)
"Marital status, no. (%)",,,,
Single,–,25 (18%),7 (17%),4 (22%)
Married/partnered,–,62 (45%),20 (49%),9 (50%)
Divorced,–,29 (21%),6 (15%),1 (6%)
Widowed,–,23 (17%),8 (20%),4 (22%)
"Veterans, no. (%)",–,68 (49%),22 (54%),9 (50%)
"MCI diagnosis, no. (%)",–,51 (37%),16 (39%),5 (28%)
"TBI history2, no. (%)",–,51 (37%),16 (39%),3 (17%)
"Baseline MoCA, mean (SD)2",–,–,24.0 (1.9)3,24.2 (2.0)4
