Brain areas,Location,Location,Peak location,Peak location,Peak location,textitT statistic
Unnamed: 0_level_1,Side,BA,x,textity,textitz,Unnamed: 6_level_1
AD vs. NC (negative),AD vs. NC (negative),AD vs. NC (negative),AD vs. NC (negative),AD vs. NC (negative),AD vs. NC (negative),AD vs. NC (negative)
Middle frontal gyrus,L,8,−42,26,43,−4.06
Superior medial gyrus,L,10,−1,59,16,−4.05
Calcarine gyrus,L,17,−1,−88,4,−4.00
Middle orbital gyrus,L,10,−36,50,−2,−3.67
Inferior frontal gyrus (p. Opercularis),R,44,60,20,19,−3.48
Inferior frontal gyrus (p. Triangularis),L,45,−54,26,22,−3.28
Supplementary motor area,R,6,3,5,52,−3.03
Precentral gyrus,L,6,−39,−19,67,−3.08
Medial frontal gyrus,L,11,−9,38,−11,−3.97
,R,11,6,38,−14,−3.35
Insula,L,13,−39,5,4,−2.56
Anterior cingulate cortex,L,32,−1,41,22,−6.55
Posterior cingulate cortex,L,23,−3,−46,28,−2.94
Hippocampus,L,54,−27,−7,−20,−4.60
Amygdala,L,53,−24,−1,−11,−3.86
Putamen,L,49,−21,8,7,−2.92
Cuneus,L,18,−3,−79,25,−2.48
Lingual gyrus,L,18,−9,−52,1,−2.84
Superior parietal lobule,L,7,−21,−64,55,−2.63
Inferior parietal lobule,R,7,36,−43,46,−3.41
Paracentral lobule,R,4,3,−37,64,−3.11
Superior temporal gyrus,R,22,48,−34,19,−3.23
Middle temporal gyrus,R,22,48,−11,−14,−3.35
Inferior temporal gyrus,R,20,44,−67,−5,−2.35
