Sensorimotor Network(n=33),Sensorimotor Network(n=33).1,Cluster 4 for the Static FC(n=35),Cluster 4 for the Static FC(n=35).1,Cluster 4 for the SampEn(n=33),Cluster 4 for the SampEn(n=33).1
ROI 32,ROI 62,,ROI 62,,ROI 62
ROI 35,ROI 64,ROI 35,ROI 64,,ROI 64
ROI 37,ROI 65,ROI 37,ROI 65,,ROI 65
ROI 41,ROI 66,ROI 41,ROI 66,ROI 41,ROI 66
ROI 42,ROI 67,ROI 42,ROI 67,ROI 42,ROI 67
ROI 43,ROI 68,ROI 43,ROI 68,ROI 43,ROI 68
ROI 45,ROI 69,ROI 45,ROI 69,ROI 45,ROI 69
ROI 46,ROI 70,ROI 46,ROI 70,ROI 46,ROI 70
ROI 48,ROI 74,ROI 48,ROI 74,ROI 48,ROI 74
ROI 49,ROI 75,ROI 49,ROI 75,ROI 49,ROI 75
ROI 50,ROI 77,ROI 50,ROI 77,ROI 50,ROI 77
ROI 51,ROI 79,ROI 51,ROI 79,ROI 51,ROI 79
ROI 52,ROI 82,ROI 52,ROI 82,ROI 52,ROI 82
ROI 53,ROI 83,ROI 53,ROI 83,ROI 53,ROI 83
ROI 54,ROI 86,ROI 54,ROI 86,ROI 54,ROI 86
ROI 55,,ROI 55,ROI 44,ROI 55,ROI 44
ROI 56,,ROI 56,ROI 59,ROI 56,ROI 59
ROI 60,,ROI 60,ROI 76,ROI 60,ROI 76
