Region of Interest,Laterality,Weight (%),Size (voxels),Expected Ranking,MNI Coordinates,MNI Coordinates,MNI Coordinates
Region of Interest,Laterality,Weight (%),Size (voxels),Expected Ranking,x,y,z
Cerebellar vermis,Midline,1.56,105,3.13,0,−46,−32
Caudate,L,1.55,942,2.11,−12,12,10
Caudate,R,1.45,982,3.14,14,14,10
DLPFC,R,1.4,"1,208",4.67,48,14,22
Superior parietal cortex,R,1.3,"1,471",6.14,24,−58,60
Cerebellar vermis,Midline,1.29,195,6.52,2,−72,−26
OFC,R,1.25,556,7.0,18,46,−14
DLPFC,R,1.21,"1,559",9.61,46,28,14
PCC,R,1.14,323,11.78,6,−42,24
Amygdala,L,1.13,211,9.64,−24,0,−16
Supramarginal gyrus,R,1.12,"1,598",16.28,56,−32,34
