Anatomic area,MNI coordinates,MNI coordinates,MNI coordinates,Cluster size,T-score
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1
Left thalamus,-21.0,-39.0,9.0,48.0,-3.303
Right middle temporal gyrus,60.0,-18.0,-33.0,107.0,3.84
Left middle temporal gyrus,-39.0,-54.0,-27.0,117.0,3.5773
Left medial cingulum,-24.0,-33.0,29.0,216.0,4.2613
Right inferior occipital gyrus,42.0,-84.0,-15.0,161.0,3.9082
Right insula,36.0,-18.0,6.0,52.0,4.0606
Right middle frontal gyrus,3.0,69.0,9.0,281.0,4.7187
Right inferior frontal gyrus,60.0,15.0,3.0,47.0,3.1109
Left superior temporal gyrus,-60.0,-24.0,12.0,49.0,3.2109
Right inferior parietal lobule,39.0,-33.0,18.0,105.0,3.5221
,,,,,
