Reference,Presymptomatic Huntington's disease,Presymptomatic Huntington's disease,Presymptomatic Huntington's disease,Healthy controls,Healthy controls,Healthy controls,Main findings,Analysis
Reference,Sample (% F),Age (y ± SD),Education (y ± SD),Sample (% F),Age (y ± SD),Education (y ± SD),Main findings,Analysis
Visual network,Visual network,Visual network,Visual network,Visual network,Visual network,Visual network,Visual network,Visual network
"Poudel et al., ???",25 (64%),43 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
"Odish et al., ???",22 (55%),43 ± 9,4 ± 3???,18 (61%),47 ± 7,4 ± 3???,No differences,ICA
"Coppen et al., ???",21 (48%),37 ± 9,17 ± 3,18 (61%),46 ± 11,17 ± 2,No differences,Network of interest
"Dumas et al., ???",28 (61%),43 ± 8,2–5???,28 (54%),49 ± 9,2–5???,Decreased FC,Network of interest
Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network
"Poudel et al., ???",25 (64%),43 ± 9,Na,18 (78%),46 ± 14,Na,Decreased FC,ICA
"Unschuld et al., ???",10 (40%),44 ± 9,Na,10 (60%),42 ± 11,Na,Decreased FC,Seed
"Koenig et al., ???",Low 16 (94%),33 ± 9,14 ± 2,16 (75%),43 ± 9,16 ± 2,Increased FC,Seed
"Koenig et al., ???",Medium 16 (69%),40 ± 10,15 ± 3,16 (75%),43 ± 9,16 ± 2,No differences,Seed
"Koenig et al., ???",High 16 (88%),48 ± 13,14 ± 2,16 (75%),43 ± 9,16 ± 2,Decreased FC,Seed
"Odish et al., ???",22 (55%),43 ± 9,4 ± 3???,18 (61%),47 ± 7,4 ± 3???,No differences,ICA
"Dumas et al., ???",28 (61%),43 ± 8,2–5???,28 (54%),49 ± 9,2–5???,No differences,Network of interest
"Gorges et al., ???",12 (75%),36 (27–62),14 (9–17),22 (32%),45 (25–51),17 (12–19),No differences,Seed
Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network
"Poudel et al., ???",25 (64%),43 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
Auditory network,Auditory network,Auditory network,Auditory network,Auditory network,Auditory network,Auditory network,Auditory network,Auditory network
"Odish et al., ???",22 (55%),43 ± 9,4 ± 3???,18 (61%),47 ± 7,4 ± 3???,No differences,ICA
"Poudel et al., ???",25 (64%),43 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
"Dumas et al., ???",28 (61%),43 ± 8,2–5???,28 (54%),49 ± 9,2–5???,No differences,Network of interest
Executive network,Executive network,Executive network,Executive network,Executive network,Executive network,Executive network,Executive network,Executive network
"Odish et al., ???",22 (55%),43 ± 9,4 ± 3???,18 (61%),47 ± 7,4 ± 3???,No differences,ICA
"Poudel et al., ???",25 (64%),43 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
"Dumas et al., ???",28 (61%),43 ± 8,2–5???,28 (54%),49 ± 9,2–5???,No differences,Network of interest
Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network
"Odish et al., ???",22 (55%),43 ± 9,4 ± 3???,18 (61%),47 ± 7,4 ± 3???,No differences,ICA
"Dumas et al., ???",28 (61%),43 ± 8,2–5???,28 (54%),49 ± 9,2–5???,No differences,Network of interest
"Poudel et al., ???",25 (64%),43 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network
"Dumas et al., ???",28 (61%),43 ± 8,2–5???,28 (54%),49 ± 9,2–5???,No differences,Network of interest
"Poudel et al., ???",25 (64%),43 ± 9,Na,18 (78%),46 ± 14,Na,Decreased FC,ICA
Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network
"Dumas et al., ???",28 (61%),43 ± 8,2–5???,28 (54%),49 ± 9,2–5???,No differences,Network of interest
"Odish et al., ???",22 (55%),43 ± 9,4 ± 3???,18 (61%),47 ± 7,4 ± 3???,No differences,ICA
"Poudel et al., ???",25 (64%),43 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
"Seibert et al., ???",34 (59%),41 ± 10,Na,22 (68%),40 ± 12,Na,No differences,Seed
Salience network,Salience network,Salience network,Salience network,Salience network,Salience network,Salience network,Salience network,Salience network
"Mason et al., ???",19 (Na),46 ± 12,Na,21 (Na),42 ± 12,Na,Reduced coupling activity mainly between SN and other sensory and cognitive networks,Network of interest
Subcortical network,Subcortical network,Subcortical network,Subcortical network,Subcortical network,Subcortical network,Subcortical network,Subcortical network,Subcortical network
"Gorges et al., ???",12 (75%),36 (27–62),14 (9–17),22 (32%),45 (25–51),17 (12–19),No differences,Seed
"Seibert et al., ???",34 (59%),41 ± 10,Na,22 (68%),40 ± 12,Na,No differences,Seed
Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures
"Gargouri et al., ???",24 (Na),39 ± 9,Na,18 (50%),44 ± 10,Na,Decreasing hub organization in associative and SMN networks,Graph measures
"Harrington et al., ???",Low 16 (94%),33 ± 9,14 ± 2,16 (75%),43 ± 9,16 ± 2,No differences,Graph measures
"Harrington et al., ???",Medium 16 (69%),39 ± 10,15 ± 3,16 (75%),43 ± 9,16 ± 2,Weakened connections within ventral attention centers and frontal areas,Graph measures
"Harrington et al., ???",High 16 (88%),47 ± 13,14 ± 2,16 (75%),43 ± 9,16 ± 2,Weakened connections within frontostriatal network and stronger in ventral attention and parietal areas,Graph measures
"McColgan, Gregory, et al., ???",64 (45%),44 ± 8,Na,66 (67%),46 ± 8,Na,Increase connectivity in anterior/frontal and decreased in posterior,Graph measures
"McColgan, Razi, et al., ???",92 (47%),42 ± 10,Na,94 (60%),48 ± 11,Na,Greater connectivity within parietal‐DMN regions,Graph measures
"Sarappa et al., ???",11 (55%),38 ± 7,Na,40 (55%),37 ± 14,Na,Decreased precuneus ALFF,ALFF
"Sarappa et al., ???",11 (55%),38 ± 7,Na,40 (55%),37 ± 14,Na,Decreased cerebellum and subcortical and increased frontotemporal ReHo,ReHo
