Younger adults,Younger adults,Younger adults,Younger adults,Older adults,Older adults,Older adults,Older adults
ROI 1,ROI 2,r,p,ROI 1,ROI 2,r,p
Left cerebellum (crus 1),Vermis 7,0.46,0.0455???,Left cerebellum (crus 1),Right cerebellum (crus 3),0.397,0.0498???
Left cerebellum (crus 6),Vermis 7,0.458,0.0398???,Vermis 45,Vermis 3,0.467,0.0009???
Right cerebellum (crus 45),Vermis 45,0.476,0.0345???,Right cerebellum (crus 1),Right cerebellum (crus 45),0.412,0.0468???
Right cerebellum (crus 6),Right cerebellum (crus 10),0.467,0.0478???,Vermis 6,Vermis 3,0.364,0.0341???
Vermis 6,Vermis 7,0.461,0.0399???,Right cerebellum (crus 8),Right cerebellum (crus 10),0.402,0.0459???
Vermis 45,Vermis 6,0.546,0.0421???,Right cerebellum (crus 45),Right cerebellum (crus 6),0.35,0.0497???
Right cerebellum (crus 1),Vermis 6,0.474,0.0498???,Left cerebellum (crus 2),Vermis 12,-0.351,0.0323???
Right cerebellum (crus 2),Vermis 6,0.491,0.0468???,Left cerebellum (crus 10),Vermis 12,-0.382,0.0487???
Right cerebellum (crus 3),Left cerebellum (crus 8),0.473,0.0421???,Right cerebellum (crus 45),Left cerebellum (crus 7),-0.407,0.0457???
Right cerebellum (crus 8),Vermis 9,-0.595,0.0005???,Right cerebellum (crus 7),Vermis 6,-0.41,0.0364???
Right cerebellum (crus 10),Vermis 9,-0.586,0.0007???,Left cerebellum (crus 7),Right cerebellum (crus 10),-0.382,0.0477???
Left cerebellum (crus 7),Vermis 10,-0.491,0.0482???,Left cerebellum (crus 8),Vermis 6,-0.353,0.0498???
Left cerebellum (crus 7),Vermis 9,-0.526,0.0386???,Right cerebellum (crus 6),Left cerebellum (crus 7),-0.349,0.0399???
Left cerebellum (crus 9),Vermis 10,-0.523,0.0398???,Right cerebellum (crus 6),Right cerebellum (crus 10),-0.398,0.0317???
,,,,Left cerebellum (crus 7),Vermis 8,-0.439,0.0477???
,,,,Left cerebellum (crus 7),Vermis 6,-0.427,0.0487???
