Region,H,K,T,MNI coordinates,MNI coordinates,MNI coordinates
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,Z
Left IFG as a seed,Left IFG as a seed,Left IFG as a seed,Left IFG as a seed,Left IFG as a seed,Left IFG as a seed,Left IFG as a seed
Superior temporal gyrus/middle temporal gyrus/rolandic operculum,L,320,5.50,−57,−30,3
,,,5.26,−57,−27,12
Postcentral gyrus/precentral gyrus/superior parietal lobe/inferior parietal,L,949,5.09,−21,−36,66
lobe/middle cingulate cortex/supplementary motor area/precuneus,,,4.64,−21,−51,51
Cerebellum/fusiform/inferior temporal gyrus,R,314,5.01,24,−54,−18
,,,4.59,39,−54,−15
,,,4.46,48,−48,−21
Superior temporal gyrus/middle temporal gyrus/rolandic operculum/insula,R,562,4.81,72,−30,0
,,,4.57,39,−12,6
,,,4.49,63,3,6
Postcentral gyrus/precentral gyrus/superior parietal lobe,R,320,4.61,21,−36,66
Cerebellum/fusiform/inferior temporal gyrus,L,385,4.68,−42,−57,−24
,,,4.42,−39,−66,−18
Middle occipital gyrus,L,128,4.65,−30,−78,12
Right IFG as a seed,Right IFG as a seed,Right IFG as a seed,Right IFG as a seed,Right IFG as a seed,Right IFG as a seed,Right IFG as a seed
Superior medial frontal gyrus/anterior cingulate cortex,L,294,5.45,−6,51,18
Cerebellum/fusiform/superior occipital gyrus/hippocampus/middle temporal gyrus/inferior temporal gyrus,L,1560,5.00,−36,−33,−27
,,,4.71,−30,−9,−21
Superior temporal gyrus/middle temporal gyrus,R,136,4.19,57,−42,21
Superior temporal gyrus/middle temporal gyrus,L,299,4.43,−45,−45,12
,,,3.88,−48,−57,6
Precuneus,L,111,4.40,−9,−54,45
Superior medial frontal gyrus/superior frontal gyrus,L,158,4.35,−6,36,51
,R,,3.87,3,39,48
Superior occipital gyrus,R,152,4.09,15,−90,21
Middle temporal gyrus/insula,L,114,4.11,−60,−15,−9
,,,4.07,−45,−9,3
Postcentral gyrus/Precuneus,R,101,3.92,27,−39,51
,,,3.47,12,−54,45
Supramarginal gyrus/postcentral gyrus,L,144,3.66,−54,−27,30
,,,3.61,−54,−12,24
