Contrast/Brain region,Unnamed: 1_level_0,Peak voxel coordinates,Peak voxel coordinates,Peak voxel coordinates,cluster size,beta,T-value,p-cFWE
Unnamed: 0_level_1,Unnamed: 1_level_1,x,y,z,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1
Postflight > Preflight [−1 1] (df = 14),Postflight > Preflight [−1 1] (df = 14),Postflight > Preflight [−1 1] (df = 14),Postflight > Preflight [−1 1] (df = 14),Postflight > Preflight [−1 1] (df = 14),Postflight > Preflight [−1 1] (df = 14),Postflight > Preflight [−1 1] (df = 14),Postflight > Preflight [−1 1] (df = 14),Postflight > Preflight [−1 1] (df = 14)
No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results
Preflight > Postflight [1 −1] (df = 14),Preflight > Postflight [1 −1] (df = 14),Preflight > Postflight [1 −1] (df = 14),Preflight > Postflight [1 −1] (df = 14),Preflight > Postflight [1 −1] (df = 14),Preflight > Postflight [1 −1] (df = 14),Preflight > Postflight [1 −1] (df = 14),Preflight > Postflight [1 −1] (df = 14),Preflight > Postflight [1 −1] (df = 14)
"Precuneus/Posterior cingulate cortex, L","Precuneus/Posterior cingulate cortex, L",−12,−52,34,146,0.63,6.04,0.012
"Sustain model, increases [−1 0.5 0.5] (df = 10)","Sustain model, increases [−1 0.5 0.5] (df = 10)","Sustain model, increases [−1 0.5 0.5] (df = 10)","Sustain model, increases [−1 0.5 0.5] (df = 10)","Sustain model, increases [−1 0.5 0.5] (df = 10)","Sustain model, increases [−1 0.5 0.5] (df = 10)","Sustain model, increases [−1 0.5 0.5] (df = 10)","Sustain model, increases [−1 0.5 0.5] (df = 10)","Sustain model, increases [−1 0.5 0.5] (df = 10)"
"Angular gyrus/Supramarginal gyrus, R","Angular gyrus/Supramarginal gyrus, R",54,−46,46,104,0.59,7.13,0.042
"Sustain model, decrease [1 −0.5 −0.5] (df = 10)","Sustain model, decrease [1 −0.5 −0.5] (df = 10)","Sustain model, decrease [1 −0.5 −0.5] (df = 10)","Sustain model, decrease [1 −0.5 −0.5] (df = 10)","Sustain model, decrease [1 −0.5 −0.5] (df = 10)","Sustain model, decrease [1 −0.5 −0.5] (df = 10)","Sustain model, decrease [1 −0.5 −0.5] (df = 10)","Sustain model, decrease [1 −0.5 −0.5] (df = 10)","Sustain model, decrease [1 −0.5 −0.5] (df = 10)"
"Precuneus/posterior cingulate cortex, L","Precuneus/posterior cingulate cortex, L",−12,−52,34,123,0.61,6.62,0.016
"Thalamus, L","Thalamus, L",00,−20,10,117,0.48,8.92,0.021
"Normalize model, increases [−0.5 1 −0.5] (df = 10)","Normalize model, increases [−0.5 1 −0.5] (df = 10)","Normalize model, increases [−0.5 1 −0.5] (df = 10)","Normalize model, increases [−0.5 1 −0.5] (df = 10)","Normalize model, increases [−0.5 1 −0.5] (df = 10)","Normalize model, increases [−0.5 1 −0.5] (df = 10)","Normalize model, increases [−0.5 1 −0.5] (df = 10)","Normalize model, increases [−0.5 1 −0.5] (df = 10)","Normalize model, increases [−0.5 1 −0.5] (df = 10)"
No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results,No significant results
"Normalize model, decreases [0.5 −1 0.5] (df = 10)","Normalize model, decreases [0.5 −1 0.5] (df = 10)","Normalize model, decreases [0.5 −1 0.5] (df = 10)","Normalize model, decreases [0.5 −1 0.5] (df = 10)","Normalize model, decreases [0.5 −1 0.5] (df = 10)","Normalize model, decreases [0.5 −1 0.5] (df = 10)","Normalize model, decreases [0.5 −1 0.5] (df = 10)","Normalize model, decreases [0.5 −1 0.5] (df = 10)","Normalize model, decreases [0.5 −1 0.5] (df = 10)"
"Posterior Insular cortex, L","Posterior Insular cortex, L",−36,−16,00,169,0.60,7.26,0.003
"Anterior Insular cortex, R","Anterior Insular cortex, R",48,02,−06,140,0.62,6.73,0.011
