Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 7_level_0
Hemisphere/Item,BA,Brain regions (AAL),Cluster size (mm3),X,Y,Z,Peak intensity
R,,,,,,,
ALFF,25/48,VSi,"1,080",18.0,0.0,-6.0,21.0849
,,Anterior thalamus,,,,,
L,,,,,,,
ReHo,25/48,VSi,324,-18.0,9.0,-9.0,18.8081
,,Anterior thalamus,,,,,
R,,,,,,,
FCD,25,VSi,999,6.0,6.0,-12.0,22.3406
L/R,,,,,,,
ALFF,5,Precuneus,486,12.0,-39.0,54.0,23.4968
,,PCC,,,,,
,,Paracentral lobe,,,,,
L/R,,,,,,,
ReHo,4,Precuneus,567,-6.0,-21.0,51.0,19.1346
,,PCC,,,,,
,,Paracentral lobe,,,,,
