Network,Effect type,Seed,p FWE-corr,Cluster size,T,z,X,y,z.1,Target region,Unnamed: 11,Unnamed: 12
SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN
,Group,Group,Group,Group,Group,Group,Group,Group,Group,Group,Group,Group
,,AMG,0.0090,119,4.78,4.62,6,52,14,BA10/mPFC,DMN,PTSD < CONTROL
,,ACC,0.0000,213,5.5,5.27,−10,−58,44,BA31/PCC,DMN,PTSD > CONTROL
,,Insula (left),0.0470,93,4.57,4.43,−54,−46,22,BA39/Angular Gyrus,DMN,PTSD < CONTROL
,,Insula (right),0.0210,108,4.03,3.93,−66,−42,16,BA22/STG/Wernicke,BA22/STG/Wernicke,PTSD < CONTROL
,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex
,,Insula (left),0.0000,229,4.65,4.5,52,14,4,BA44/IFG parsopecularis,CEN,F < M
,,Insula (left),0.0030,156,4.05,3.95,4,2,66,BA6/Premotor/SMA,BA6/Premotor/SMA,F < M
,,Insula (left),0.0060,141,4.04,3.94,−42,8,2,BA44/IFG parsopecularis,CEN,F < M
,,Insula (right),0.0010,195,4.75,4.6,46,8,2,BA44/IFG parsopecularis,CEN,F < M
,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex
,,AMG,0.0380,90,4.66,4.51,30,−68,12,BA7/Precuneus,DMN,See ???
,,ACC,0.0390,98,5.24,5.04,16,−66,38,BA7/Precuneus,DMN,See ???
CEN,CEN,CEN,CEN,CEN,CEN,CEN,CEN,CEN,CEN,CEN,CEN,CEN
,Group,Group,Group,Group,Group,Group,Group,Group,Group,Group,Group,Group
,,lPFC (left),0.0020,170,5.57,5.53,4,28,50,BA8/dlPFC,CEN,PTSD < CONTROL
,,lPFC (left),0.0040,151,4.28,4.17,−62,−30,−16,BA21/MTG,BA21/MTG,PTSD < CONTROL
,,PPC (left),0.0330,100,4.25,4.14,−48,28,22,BA46/dlPFC,CEN,PTSD < CONTROL
,,PPC (right),0.0250,104,4.7,4.55,−2,−76,34,BA18/Visual association Cortex,BA18/Visual association Cortex,PTSD < CONTROL
,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex
,,lPFC (left),0.0250,106,4.19,4.08,−52,20,−10,BA47/vlPFC,SN,F < M
,,PPC (right),0.0070,133,4.88,4.72,−38,−54,34,BA39/Angular Gyrus,DMN,F < M
,,PPC (right),0.0400,94,4.3,4.18,48,−40,38,BA40/Supramarginal,CEN,F < M
DMN,DMN,DMN,DMN,DMN,DMN,DMN,DMN,DMN,DMN,DMN,DMN,DMN
,Group,Group,Group,Group,Group,Group,Group,Group,Group,Group,Group,Group
,,mPFC,0.0000,255,4.93,4.76,−14,48,46,BA8/dlPFC,CEN,PTSD < CONTROL
,,PCC,0.0390,98,5.23,5.03,−38,10,42,BA8/dlPFC,CEN,PTSD < CONTROL
,,PCC,0.0020,173,4.69,4.55,56,−68,30,BA39/Angular Gyrus,DMN,PTSD < CONTROL
,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex
,,PCC,0.0000,217,4.71,4.56,−10,−78,32,BA18/Visual association Cortex,BA18/Visual association Cortex,F < M
,,mPFC,0.0020,174,4.56,4.42,−48,−4,−2,BA22/STG/Wernicke,BA22/STG/Wernicke,F < M
,,mPFC,0.0170,116,4.55,4.42,−32,−44,70,BA7/Precuneus,DMN,F < M
,,HIP,0.0050,139,4.28,4.17,−28,−44,66,BA7/Precuneus,DMN,F < M
,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex,Group x Sex
,,HIP,0.0020,158,5.23,5.03,−38,−78,36,BA39/Angular Gyrus,DMN,See ???
