Seed,Correlated Area,MNI Coordinates,β,T,p-FDR,Connectivity
Fibromyalgia patients,Fibromyalgia patients,Fibromyalgia patients,Fibromyalgia patients,Fibromyalgia patients,Fibromyalgia patients,Fibromyalgia patients
Pain matrix*,R PCN,"01, −40, 46",−0.18,−6.2,0.02,Decreased
Pain matrix*,R PCC,"02, −18, 32",−0.17,−6.1,0.05,Decreased
Pain matrix*,R OFC,"48, 22, −14",−0.19,−7.6,0.02,Decreased
L ACC,R STG,"68, −16, 04",−0.22,−7.1,<0.001,Decreased
L ACC,R SPL,"18, −52, 72",−0.21,−6.2,0.04,Decreased
L AMYG,R MidFG,"28, 30, 36",0.18,6.0,0.02,Increased
L AnG,R SFG,"10, 16, 64",−0.22,−6.2,0.01,Decreased
L AnG,L SFG,"−08, 18, 60",−0.22,−7.6,0.03,Decreased
L AnG,R PCC,"02, −16, 48",−0.21,−7.1,0.05,Decreased
L AnG,R MTG,"70, −16, −08",−0.25,−8.0,0.05,Decreased
L AnG,R PCN,"10, −56, 28",−0.21,−7.0,0.05,Decreased
L INS,L M1,"−18, −26, 56",−0.18,−8.7,0.03,Decreased
Healthy controls,Healthy controls,Healthy controls,Healthy controls,Healthy controls,Healthy controls,Healthy controls
Pain matrix*,L SLOC,"−48, −50, 40",0.20,4.5,0.03,Increased
R AMYG,R SI,"56, −14, 32",0.17,5.4,0.02,Increased
R AMYG,L SLOC,"−20, −74, 34",0.18,7.1,0.03,Increased
R AMYG,R SLOC,"16, −80, 44",0.20,5.0,0.04,Increased
R AnG,L LG,"−14, −56, −02",0.19,5.9,0.03,Increased
R INS,L CRBL,"−38, −86, −24",−0.18,−6.4,0.03,Decreased
