Unnamed: 0_level_0,Unnamed: 1_level_0,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima,Frequency band of rsFC maxima
Unnamed: 0_level_1,Unnamed: 1_level_1,θ,θ,θ,θ,α,α,α,α,β,β,β,β,Low γ,Low γ,Low γ,Low γ
Unnamed: 0_level_2,Unnamed: 1_level_2,MNI,MNI.1,MNI.2,Loc,MNI,MNI.1,MNI.2,Loc,MNI,MNI.1,MNI.2,Loc,MNI,MNI.1,MNI.2,Loc
Frequency band of seed F3tv,θ,−54,−32,−1,T2,−43,13,3,Ins,−35,10,10,Ins,−50,−59,35,AG
,,−52,−46,−12,T3,−41,−3,−4,Ins,−55,−50,28,SMG,−22,−64,7,Cal
,,,,,,−41,15,17,F3op,−54,−30,12,T1,-61,−35,40,IPL
,,,,,,−52,−41,28,SMG,,,,,−60,−34,42,IPL
,,,,,,−55,−8,7,T1,,,,,−57,−19,51,IPL
,,,,,,47,−38,16,T1(R),,,,,46,−35,63,IPL(R)*
,,,,,,,,,,,,,,−19,−53,61,PC*
,,,,,,,,,,,,,,12,−62,60,PC(R)*
,,,,,,,,,,,,,,−55,−41,25,SMG
,α,−40,−60,44,AG,−47,−58,34,AG,11,−45,29,PCC(R)*,−51,−28,44,IPL
,,−33,−64,47,AG,−32,−51,−13,Fus,−67,−32,11,T1,−15,−58,55,PC*
,,40,−57,26,AG(R)*,−6,−32,37,PCC*,−68,−33,9,T2,7,−58,15,PC*
,,32,−53,−19,Fus(R)*,6,−37,40,PCC(R)*,,,,,7,−62,49,PC(R)*
,,−2,−69,48,PC*,−65,−27,1,T2,,,,,,,,
,,−64,−27,18,SMG,,,,,,,,,,,,
,,21,−76,31,SOG(R)*,,,,,,,,,,,,
,,−65,−28,15,T1,,,,,,,,,,,,
,,−69,−35,5,T2,,,,,,,,,,,,
,,−51,−61,20,T2,,,,,,,,,,,,
,,−43,−64,10,T2,,,,,,,,,,,,
,β,−28,−50,44,IPL,−44,6,15,F3op,6,26,6,ACC(R)*,5,−30,41,PCC(R)*
,,−58,−23,18,SMG,−46,−50,26,SMG,−45,13,25,F3tr,−50,−37,31,SMG
,,−46,−54,18,T2,,,,,,−49,−26,17,T1,,,
,,−50,−47,−12,T3,,,,,,,,,,,,
,Low γ,No supra-threshold voxels,No supra-threshold voxels,No supra-threshold voxels,No supra-threshold voxels,−49,−1,38,PrC,−55,14,18,F3op,−41,−7,−4,Ins
,,,,,,,,,,−21,−38,−4,PH*,−47,12,22,F3op
,,,,,,,,,,,,,,−45,7,36,PrC
,,,,,,,,,,,,,,−45,−8,6,Ins(R)
