C,Bseed,Bmax,MNI,MNI.1,MNI.2,Loc
1.0,θ,Low γ,−22,−64,7,Cal
,α,θ,−43,−64,10,T2
,,Low γ,−7,−58,15,PC*
,β,θ,−46,−54,18,T2
,,,−50,−47,−12,T3
,Low γ,β,−21,−38,−4,PH*
2.0,θ,Low γ,46,−35,63,IPL(R*)
,,,12,−62,60,PC(R)*
,α,θ,−2,−69,48,PC*
,,,21,−76,31,SOG(R)*
,,β,11,−45,29,PCC(R)*
,,Low γ,7,−62,49,PC(R)*
,β,Low γ,5,−30,41,PCC(R)*
3.0,θ,Low γ,−19,−53,61,PC*
,α,θ,−40,−60,44,AG
,,,−33,−64,47,AG
,,Low γ,−15,−58,55,PC*
,β,θ,−28,−50,44,IPL
4.0,θ,α,−41,15,17,F3op
,,,−43,13,3,Ins
,,,−41,−3,−4,Ins
,,,−55,−8,7,T1
,,β,−35,10,10,Ins
,β,α,−44,6,15,F3op
,Low γ,α,−49,−1,38,PrC
,,β,−55,14,18,F3op
5.0,θ,β,−54,−30,12,T1
,α,θ,−64,−27,18,SMG
,,,−65,−28,15,T1
,,,−69,−35,5,T2
,,β,−67,−32,11,T1
,,,−68,−33,9,T2
,β,θ,−58,−23,18,SMG
6.0,θ,α,−52,−41,28,SMG
,,β,−55,−50,28,SMG
,,Low γ,−50,−59,35,AG
,,,−61,−35,40,IPL
,,,−60,−34,42,IPL
,,,−57,−19,51,IPL
,,,−55,−41,25,SMG
,α,θ,−51,−61,20,T2
,,Low γ,−51,−28,44,IPL
,β,α,−46,−50,26,SMG
,,Low γ,−50,−37,31,SMG
7.0,θ,α,47,−38,16,T1(R)
,α,θ,32,−53,−19,Fus(R)*
,,,40,−57,26,AG(R)*
