Unnamed: 0_level_0,Low to intermediate Aβ,Low to intermediate Aβ,Low to positive Aβ,Low to positive Aβ,Intermediate to positive Aβ,Intermediate to positive Aβ,P-trend
Unnamed: 0_level_1,β (CI),P,β (CI),P,β (CI),P,Unnamed: 7_level_1
Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1
LnDMN,"0.04 (−0.01, 0.10)",0.13,"−0.05 (−0.15, 0.05)",0.36,"−0.09 (−0.19, 0.01)",0.08,0.12
LnFPC,"0.03 (−0.03, 0.10)",0.27,"0.07 (−0.04, 0.19)",0.21,"0.04 (−0.08, 0.16)",0.51,0.33
LnDAN,"−0.05 (−0.12, 0.02)",0.19,"−0.07 (−0.20, 0.07)",0.32,"−0.02 (−0.15, 0.11)",0.78,0.34
LnSAL,"0.04 (−0.02, 0.10)",0.20,"0.05 (−0.07, 0.16)",0.42,"0.007 (−0.11, 0.12)",0.91,0.40
Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2
LnDMN,"0.02 (−0.04, 0.07)",0.57,"−0.05 (−0.16, 0.05)",0.31,"−0.07 (−0.17, 0.03)",0.18,0.39
LnFPC,"0.01 (−0.05, 0.08)",0.69,"0.05 (−0.07, 0.18)",0.40,"0.04 (−0.08, 0.05)",0.69,0.69
LnDAN,"−0.02 (−0.10, 0.05)",0.54,"−0.03 (−0.18, 0.11)",0.64,"−0.01 (−0.15, 0.13)",0.89,0.79
LnSAL,"0.04 (−0.03, 0.10)",0.29,"0.09 (−0.03, 0.21)",0.15,"0.05 (−0.06, 0.17)",0.37,0.29
