Unnamed: 0,ADHD,Control,Difference
Participants wave 1 (% male),68 (73%),72 (49%),χ2 = 0.11
Participants wave 2 (% male),66 (72%),70 (56%),χ2 = 1.44
Participants wave 3 (% male),43 (67%),53 (62%),χ2 = 0.16
"Age wave 1, Mean (SD)",10.40 (0.57),10.45 (0.47),t = 0.98
"Age wave 2, Mean (SD)",11.63 (0.61),11.72 (0.64),t = −0.14
"Age wave 3, Mean (SD)",13.24 (0.63),13.09 (0.66),t = −0.73
"Mean head motion wave 1, Mean (SD)",0.19 (0.16),0.18 (0.38),t = 0.11
"Mean head motion wave 2, Mean (SD)",0.16 (0.11),0.13 (0.09),t = −1.51
"Mean head motion wave 3, Mean (SD)",0.11 (0.06),0.10 (0.05),t = −1.06
"DSM inattentive symptoms, Mean (SD)",6.77 (1.74),0.85 (1.33),t = −22.84???
"DSM hyperactive/impulsive symptoms, Mean (SD)",5.74 (2.59),1.18 (1.48),t = −12.54???
"Conners 3 ADHD index, Mean (SD)",13.51 (4.52),1.15 (1.93),t = −20.95???
ADHD medication wave 1 (%),11 (16%),‐,‐
ADHD medication wave 2 (%),12 (18%),‐,‐
ADHD medication wave 3 (%),6 (13%),‐,‐
