Label,Abbreviation,Full name
1/2,TCpol,Temporal polar cortex
3/4,Amyg,Amygdala
5/6,PHC,Parahippocampal cortex
7/8,TCi,Inferior temporal cortex
9/10,TCv,Ventral temporal cortex
11/12,HC,Hippocampal cortex
13/14,TCc,Central temporal cortex
15/16,TCs,Superior temporal cortex
17/18,VACv,"Anterior visual cortex, ventral part"
19/20,V1,Primary visual cortex
21/22,PFCoi,Orbital inferior prefrontal cortex
23/24,V2,Secondary visual cortex
25/26,PFCom,Orbitomedial prefrontal cortex
27/28,Ia,Anterior insula
29/30,Ip,Posterior insula
31/32,CCs,Subgenual cingulate cortex
33/34,PMCvl,Ventrolateral premotor cortex
35/36,CCp,Posterior cingulate cortex
37/38,CCr,Retrosplenial cingulate cortex
39/40,G,Gustatory cortex
41/42,PFCol,Orbitolateral prefrontal cortex
43/44,A2,Secondary auditory cortex
45/46,PFCvl,Ventrolateral prefrontal cortex
47/48,A1,Primary auditory cortex
49/50,VACd,"Anterior visual cortex, dorsal part"
51/52,S2,Secondary somatosensory cortex
53/54,PFCpol,Prefrontal pole cortex
55/56,S1,Primary somatosensory cortex
57/58,PFCm,Medial prefrontal cortex
59/60,PCm,Medial parietal cortex
61/62,M1,Primary motor cortex
63/64,FEF,Frontal eye field
65/66,CCa,Anterior cingulate cortex
67/68,PFCcl,Centrolateral prefrontal cortex
69/70,PCip,Intraparietal cortex
71/72,PCi,Inferior parietal cortex
73/74,PCs,Superior parietal cortex
75/76,PFCdm,Dorsomedial prefrontal cortex
77/78,PFCdl,Dorsolateral prefrontal cortex
79/80,PMCdl,Dorsolateral premotor cortex
81/82,PMCm,Medial premotor cortex
