Clinical Variables,MNI Coordinate,Regions,ClusterSize,Cluster Volume (mm3),T-Value,p-Value(Uncorr.),FDRp
Duration of illness,Duration of illness,Duration of illness,Duration of illness,Duration of illness,Duration of illness,Duration of illness,Duration of illness
Negative correlation,14; −45; 72,Right postcentral cortex,32,108,5.515,<0.001,0.176
Negative correlation,17; −87; 2,Right calcarine fissure and surrounding cortex,91,307,8.424,<0.001,0.176
Negative correlation,−44; −48; 14,Left middle temporal cortex,131,442,8.305,<0.001,0.176
Negative correlation,−44; −6; 60,Left precentral cortex,26,88,7.167,<0.001,0.176
Negative correlation,−48; −6; −15,Left middle temporal cortex and superior temporal cortex,44,149,7.456,<0.001,0.176
Duration of alcohol abstinence,Duration of alcohol abstinence,Duration of alcohol abstinence,Duration of alcohol abstinence,Duration of alcohol abstinence,Duration of alcohol abstinence,Duration of alcohol abstinence,Duration of alcohol abstinence
Positive correlation,53; −30; −6,Right middle temporal cortex,30,101,5.879,<0.001,0.365
Positive correlation,56; 14; 32,Right inferior frontal cortex (opercular part),34,115,6.789,<0.001,0.361
Positive correlation,−35; −42; 65,Left postcentral cortex,24,81,7.058,<0.001,0.361
Positive correlation,−38; −17; 68,Left precentral cortex,53,179,6.969,<0.001,0.361
Positive correlation,−50; 14; −12,Left superior temporal pole,117,395,10.365,<0.001,0.361
Positive correlation,−32; −8; −17,Left hippocampus,32,108,9.016,<0.001,0.361
Positive correlation,−20; −36; −18,Left fusiform gyrus,35,118,5.458,<0.001,0.377
Positive correlation,−27; 24; −24,Left inferior frontal cortex (orbital part) and superior temporal pole,142,479,8.691,<0.001,0.361
OCDS a,OCDS a,OCDS a,OCDS a,OCDS a,OCDS a,OCDS a,OCDS a
Negative correlation,−21; 48; 30,Left middle frontal cortex,32,108,4.668,<0.005,0.514
Negative correlation,−62; −11; 39,Left postcentral cortex,28,95,9.347,<0.005,0.514
Negative correlation,−39; −29; 6,"Left Rolandic operculum, superior temporal cortex, and Heschl’s gyrus",125,422,5.498,<0.005,0.514
MAST a,MAST a,MAST a,MAST a,MAST a,MAST a,MAST a,MAST a
Positive correlation,38; 23; 21,Right inferior frontal cortex (triangular part),36,122,4.029,<0.005,0.554
Positive correlation,−32; −66; 32,Left middle occipital cortex,113,381,5.324,<0.005,0.554
