Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Model 1,Model 1,Model 1,Unnamed: 9_level_0,Model 2,Model 2,Model 2
Unnamed: 0_level_1,Unnamed: 1_level_1,Median,No. of Total,No. of Cases,Unnamed: 5_level_1,Odds Ratio (95% CI),Odds Ratio (95% CI).1,Odds Ratio (95% CI).2,Unnamed: 9_level_1,Odds Ratio (95% CI),Odds Ratio (95% CI).1,Odds Ratio (95% CI).2
Polyunsaturated fatty acid(PUFA),Q1,3.8,547.0,150.0,Q1,1.00,,,Q1,1.0,,
Polyunsaturated fatty acid(PUFA),Q2,6.1,548.0,118.0,Q2,0.72,0.55,0.95,Q2,0.69,0.5,0.96
Polyunsaturated fatty acid(PUFA),Q3,8.4,548.0,113.0,Q3,0.68,0.52,0.90,Q3,0.66,0.46,0.94
,Q4,12.3,547.0,106.0,Q4,0.63,0.47,0.84,Q4,0.63,0.41,0.98
p-value for trend,p-value for trend,,,,,0.0025,0.0025,0.0025,,0.0585,0.0585,0.0585
Total omega-3 fatty acid,Q1,0.4,547.0,146.0,Q1,1.00,,,Q1,1.0,,
Total omega-3 fatty acid,Q2,0.6,548.0,129.0,Q2,0.84,0.64,1.10,Q2,0.78,0.57,1.07
Total omega-3 fatty acid,Q3,0.9,548.0,107.0,Q3,0.66,0.50,0.88,Q3,0.63,0.45,0.9
Total omega-3 fatty acid,Q4,1.4,547.0,105.0,Q4,0.65,0.49,0.86,Q4,0.63,0.42,0.96
p-value for trend,p-value for trend,,,,,0.0019,0.0019,0.0019,,0.04,0.04,0.04
Alpha-linolenic acid(α-LA),Q1,254.9,547.0,140.0,Q1,1.00,,,Q1,1.0,,
Alpha-linolenic acid(α-LA),Q2,411.4,548.0,126.0,Q2,0.86,0.65,1.13,Q2,0.93,0.67,1.28
Alpha-linolenic acid(α-LA),Q3,578.4,548.0,113.0,Q3,0.74,0.56,0.99,Q3,0.76,0.54,1.08
Alpha-linolenic acid(α-LA),Q4,894.3,547.0,108.0,Q4,0.70,0.53,0.93,Q4,0.74,0.49,1.13
p-value for trend,p-value for trend,,,,,0.0131,0.0131,0.0131,,0.1237,0.1237,0.1237
Eicosapentaenoic acid(EPA),Q1,29.4,547.0,147.0,Q1,1.00,,,Q1,1.0,,
Eicosapentaenoic acid(EPA),Q2,60.1,548.0,117.0,Q2,0.74,0.56,0.98,Q2,0.77,0.57,1.06
Eicosapentaenoic acid(EPA),Q3,102.2,548.0,129.0,Q3,0.84,0.64,1.10,Q3,0.8,0.58,1.11
Eicosapentaenoic acid(EPA),Q4,198.9,547.0,94.0,Q4,0.57,0.42,0.76,Q4,0.61,0.43,0.89
p-value for trend,p-value for trend,,,,,0.0006,0.0006,0.0006,,0.0186,0.0186,0.0186
Docosapentaenoic acid(DPA),Q1,3.4,547.0,149.0,Q1,1.00,,,Q1,1.0,,
Docosapentaenoic acid(DPA),Q2,7.9,548.0,125.0,Q2,0.79,0.60,1.04,Q2,0.8,0.58,1.09
Docosapentaenoic acid(DPA),Q3,13.7,548.0,126.0,Q3,0.79,0.60,1.04,Q3,0.77,0.56,1.06
Docosapentaenoic acid(DPA),Q4,28.0,547.0,87.0,Q4,0.51,0.38,0.68,Q4,0.54,0.38,0.78
p-value for trend,p-value for trend,,,,,<0.0001,<0.0001,<0.0001,,0.0012,0.0012,0.0012
Docosahexaenoic acid(DHA),Q1,42.6,547.0,146.0,Q1,1.00,,,Q1,1.0,,
Docosahexaenoic acid(DHA),Q2,92.3,548.0,123.0,Q2,0.79,0.60,1.05,Q2,0.83,0.6,1.13
Docosahexaenoic acid(DHA),Q3,156.0,548.0,125.0,Q3,0.81,0.61,1.06,Q3,0.79,0.57,1.09
Docosahexaenoic acid(DHA),Q4,306.4,547.0,93.0,Q4,0.57,0.42,0.76,Q4,0.61,0.42,0.88
p-value for trend,p-value for trend,,,,,0.0003,0.0003,0.0003,,0.011,0.011,0.011
