ABIDE I + II,Sitesa,ASD M (N = 362),ASD F (N = 82),NT M (N = 409),NT F (N = 166),Statistics,Post-hoc
ABIDE I + II,N,Mean (SD) [Range],Mean (SD) [Range],Mean (SD) [Range],Mean (SD) [Range],Statistics,Post-hoc
Age,13,11.8 (2.6) [7–17.9],11.7 (2.7) [7–18],11.8 (2.6) [7.1–18.2],11.4 (2.3) [7.8–17.4],F(3) = 1.18 p = 0.32,
Full-Scale IQb,13,106 (16.6) [72–148],104 (16.3) [73–147],112 (12.7) [73–148],114 (12.7) [80–144],F(3) = 19.24 p < 0.001,(ASD M = ASD F) < (NT M = NT F)
Verbal IQc,12,107 (17.9) [57–180],105 (17.3) [62–145],114 (13.5) [73–147],114 (14.4) [83–146],F(3) = 16.78 p < 0.001,(ASD M = ASD F) < (NT M = NT F)
Performance IQd,12,106 (17.0) [59–157],104 (17.1) [67–148],109 (14.2) [62–147],109 (13.2) [79–145],F(3) = 3.1 p = 0.03,(ASD M = ASD F) < (NT M = NT F)
Mean FD,13,0.11 (0.07) [0.02–0.39],0.13 (0.09) [0.02–0.39],0.09 (0.06) [0.02–0.39],0.09 (0.06) [0.02–0.38],H(3) = 29.6 p < 0.001,(ASD M = ASD F) < (NT M = NT F)
ADI-R,ADI-R,ADI-R,ADI-R,ADI-R,ADI-R,ADI-R,ADI-R
Sociale,11,19.7 (5.2) [4–30],19.6 (5.5) [7–30],–,–,t(93) = 0.14 p = 0.89,
Communicationf,11,15.6 (4.5) [2–25],15.2 (5.0) [4–24],–,–,t(92) = 0.61 p = 0.54,
RRBf,11,6.0 (2.4) [0–13],5.8 (2.5) [0–12],–,–,t(96) = 0.51 p = 0.61,
ADOS-2,ADOS-2,ADOS-2,ADOS-2,ADOS-2,ADOS-2,ADOS-2,ADOS-2
Social-Affectg,11,9.1 (3.7) [1–20],8.7 (3.2) [4–18],–,–,t(87) = 0.97 p = 0.33,
RRBh,11,3.2 (1.8) [0–8],2.8 (1.5) [0–5],–,–,t(93) = 1.79 p = 0.08,
CSS totali,11,6.9 (2.1) [1–10],6.8 (1.8) [2–10],–,–,t(93) = 0.11 p = 0.32,
,,N,N,,,Statistics,Post-hoc
Comorbidity,5,99j,25k,–,–,χ2(1) = 0.2 p = 0.66,
Psychoactive medication,10,112,26,–,–,χ2(1) < 0.01 p = 0.99,
