Cluster,Peaks,L/R,BA,MNI coordinates,MNI coordinates,MNI coordinates,Z
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1
1.0,Supramarginal gyrus,L,40.0,-60.0,-34.0,42.0,4.68
,,L,40.0,-44.0,-46.0,54.0,3.67
,,L,40.0,-32.0,-36.0,40.0,3.33
,Posterior cingulate cortex,L,31.0,-14.0,-26.0,40.0,3.64
2.0,Supramarginal gyrus,R,40.0,44.0,-40.0,46.0,4.24
,Inferior parietal lobule,R,7.0,22.0,-64.0,44.0,3.67
,,R,7.0,36.0,-72.0,36.0,3.4
3.0,Inferior frontal gyrus,R,44.0,48.0,14.0,12.0,4.42
,,R,44.0,44.0,16.0,0.0,3.16
,Insula,R,13.0,44.0,4.0,8.0,3.21
4.0,Inferior frontal gyrus,L,44.0,-48.0,4.0,8.0,3.52
,,,44.0,-44.0,2.0,26.0,3.37
,Insula,L,13.0,-42.0,10.0,-14.0,3.42
,,,,,,,
