Unnamed: 0,Metrics,AUC (%),B-ACC (%),Sensitivity (%),Specificity (%),PPV (%),NPV (%)
Local metrics,fALFF,88.75,88.75,95.0,82.5,89.19,92.14
Local metrics,ReHo,96.25,96.25,100.0,92.5,95.6,100.0
Local metrics,DC,100.0,100.0,100.0,100.0,100.0,100.0
Local metrics,VMHC,96.25,96.25,100.0,92.5,95.6,100.0
Local metrics,FCS,86.67,86.67,98.33,75.0,86.86,97.78
Local metrics,Combined,100.0,100.0,100.0,100.0,100.0,100.0
Network metrics,DMN,86.25,86.25,100.0,72.5,84.75,100.0
Network metrics,DAS,82.5,82.5,95.0,70.0,83.44,91.79
Network metrics,ECN (L),80.42,80.42,98.33,62.5,81.57,97.5
Network metrics,ECN (R),80.42,80.42,98.33,62.5,82.01,97.5
Network metrics,Motor dorsal (L),86.67,86.67,93.33,80.0,89.29,92.32
Network metrics,Motor dorsal (R),82.5,82.5,90.0,75.0,85.71,85.84
Network metrics,Motor ventral (L),81.67,81.67,93.33,70.0,82.89,88.45
Network metrics,Motor ventral (R),93.33,93.33,96.67,90.0,93.85,94.92
Network metrics,Salience (L),82.92,82.92,93.33,72.5,83.83,87.98
Network metrics,Salience (R),81.25,81.25,90.0,72.5,84.37,86.7
Network metrics,Visual primary,83.33,83.33,91.67,75.0,86.4,90.0
Network metrics,Visual secondary,82.08,82.08,81.67,82.5,88.98,74.71
Network metrics,Combined,97.5,97.5,100.0,95.0,96.92,100.0
