Connected region,Group,Positive brain regions,Voxel size,t value,Peak MNI coordinate (mm),Peak MNI coordinate (mm).1,Peak MNI coordinate (mm).2
,,,,,X,Y,Z
Seed 1 HHA.R,EA group,Brainstem. R,2.0,3.53,8.00,-101.05,-14.80
,,Entorhinal cortex.L,2.0,3.7,-52.00,-35.05,-11.80
,,Molecular layer of the cerebellum.R,3.0,4.44,41.00,-125.05,18.20
,MA group,Brainstem. L,2.0,3.72,-13.00,-92.05,-32.80
,,Molecular layer of the cerebellum.R,2.0,4.79,32.00,-125.05,27.20
,,Basal forebrain region. R,2.0,4.41,14.00,24.95,-11.80
Seed 2 Ent.R,EA group,Cornu ammonis 1.R,2.0,4.1,23.00,-47.05,51.20
,,PreLimbic cortex.R,2.0,4.38,16.00,33.95,15.20
,,Dentate gyrus.R,4.0,3.24,32.00,-59.05,36.20
,,Brainstem. R,2.0,3.97,20.00,-125.05,-26.80
,,Corpus callosum. R,2.0,4.1,23.00,-47.05,51.20
,,Striatum.R,3.0,3.14,23.00,12.95,21.20
,,Granule cell level of the cerebellum.L,2.0,4.96,-64.00,-113.05,6.20
,MA group,Cornu ammonis 1.R,2.0,4.26,50.00,-56.05,6.20
,,Dentate gyrus.R,2.0,4.26,50.00,-56.05,6.20
,,Ectorhinal cortex.L,2.0,4.14,-58.00,-32.05,0.20
,,Brainstem. L,3.0,3.83,-1.00,-50.05,-5.80
,,Granule cell level of the cerebellum.L,2.0,3.34,-28.00,-122.05,12.20
