Region,Side,kE,Z,X,y,z,Post hoc test
SEED: DORSAL ACC,SEED: DORSAL ACC,SEED: DORSAL ACC,SEED: DORSAL ACC,SEED: DORSAL ACC,SEED: DORSAL ACC,SEED: DORSAL ACC,SEED: DORSAL ACC
Precuneus,Left,256,4.50,−2,−46,48,IGDde+ > IGDde−> Controls
Cerebellar lobule IX,Right,129,4.12,10,−42,−40,"IGDde+ > IGDde−, Controls"
SEED: PREGENUAL ACC,SEED: PREGENUAL ACC,SEED: PREGENUAL ACC,SEED: PREGENUAL ACC,SEED: PREGENUAL ACC,SEED: PREGENUAL ACC,SEED: PREGENUAL ACC,SEED: PREGENUAL ACC
Supplementary motor area,Right,352,5.11,32,6,64,"IGDde−, Controls > IGDde+"
Dorsomedial prefrontal cortex,Right,111,4.71,10,52,34,"IGDde−, Controls > IGDde+"
Precuneus,Right,184,4.46,16,−42,54,"IGDde+, IGDde−> Controls"
Posterior cingulate cortex,Left,359,4.02,−12,−22,42,"IGDde+, IGDde−> Controls"
Inferior frontal gyrus,Left,135,4.29,−42,2,16,IGDde−> IGDde+ > Controls
SEED: SUBGENUAL ACC,SEED: SUBGENUAL ACC,SEED: SUBGENUAL ACC,SEED: SUBGENUAL ACC,SEED: SUBGENUAL ACC,SEED: SUBGENUAL ACC,SEED: SUBGENUAL ACC,SEED: SUBGENUAL ACC
Dorsolateral prefrontal cortex,Left,254,4.34,−36,34,38,"IGDde−> IGDde+, Controls"
Lingual gyrus,Left,145,4.21,−18,−86,−12,"IGDde−, Controls > IGDde+"
Precuneus,Left,100,3.75,−8,−62,46,Controls > IGDde+
Postcentral gyrus,Left,186,3.75,−42,−12,38,IGDde−> IGDde+
