Unnamed: 0,Brain region,Lat,X (mm),Y (mm),Z (mm),Vol (cm),Z-stat
Auditory,,,,,,,
Migraine > Control,Cortical,,,,,,
,Frontal,,,,,,
,Sup. Orbital,R,18.0,34.0,32.0,1.24,2.92
,Parietal,,,,,,
,Supramarginal,R,58.0,-14.0,28.0,1.8,4.22
,Occipital,,,,,,
,Inferior,L,-34.0,-86.0,-4.0,1.03,3.12
,Temporal,,,,,,
,Superior,R,62.0,-6.0,4.0,1.0,2.7
,,L,-62.0,-34.0,20.0,2.55,2.87
,Middle,L,-50.0,-34.0,4.0,1.61,3.59
,Cingulum,,,,,,
,Middle,L,-2.0,-6.0,48.0,2.79,3.94
CEN –A (10),,,,,,,
Migraine > Control,Cortical,,,,,,
,Frontal,,,,,,
,Sup. Medial,L,-2.0,46.0,28.0,10.18,4.69
,Cingulum,,,,,,
,Middle,L,2.0,18.0,36.0,1.97,3.78
,,L,-6.0,-38.0,36.0,1.39,3.64
,Insula,,,,,,
,Anterior,L,-42.0,6.0,-12.0,8.0,3.69
CEN –C (53),,,,,,,
Migraine > Control,Cortical,,,,,,
,Parietal,,,,,,
,Supramarginal,R,54.0,-34.0,48.0,1.8,3.86
,Superior,R,18.0,-46.0,68.0,1.08,3.31
,,L,-18.0,-74.0,52.0,1.42,3.75
,Occipital,,,,,,
,Superior,L,-22.0,-74.0,40.0,1.25,3.77
,Temporal,,,,,,
,Lingual,L,-10.0,-58.0,-8.0,1.46,4.18
,,R,2.0,-70.0,0.0,1.49,4.04
,Cingulum,,,,,,
,Anterior,L,2.0,26.0,28.0,2.06,4.33
CEN –B (16),,,,,,,
Migraine < Control,Cortical,,,,,,
,Parietal,,,,,,
,Precuneus,R,14.0,-42.0,48.0,1.13,4.39
DMN – A (03),,,,,,,
Migraine < Control,Cortical,,,,,,
,Temporal,,,,,,
,Superior,R,58.0,-6.0,-12.0,1.03,4.59
FPN Right,,,,,,,
Migraine > Control,Cortical,,,,,,
,Frontal,,,,,,
,Inferior triangular,L,-54.0,22.0,24.0,1.67,3.27
,Temporal,,,,,,
,Superior,L,-46.0,-14.0,-12.0,3.41,4.17
Migraine < Control,Cortical,,,,,,
,Frontal,,,,,,
,Middle,L,-46.0,42.0,16.0,4.58,3.89
,SMA,L,-10.0,2.0,72.0,1.17,3.99
Salience,,,,,,,
Migraine > Control,Cortical,,,,,,
,Frontal,,,,,,
,Inf. Orbital,R,46.0,30.0,-8.0,4.18,3.34
,Inf. Triangular,R,54.0,26.0,16.0,1.65,3.36
,Inf. Operculum,L,-54.0,14.0,0.0,1.26,3.12
,,R,58.0,10.0,4.0,5.09,3.76
,Parietal,,,,,,
,Supramarginal,R,58.0,-38.0,36.0,1.02,2.53
,Superior,L,-14.0,-74.0,48.0,1.52,3.36
,Occipital,,,,,,
,Middle,R,46.0,-66.0,24.0,1.04,3.13
,Temporal,,,,,,
,Lingual,L,-18.0,-90.0,-12.0,1.15,2.99
,Insula,,,,,,
,Anterior,L,-30.0,30.0,4.0,1.92,3.33
,,R,34.0,22.0,4.0,2.09,2.91
,Sub-cortical,,,,,,
,Putamen,R,30.0,6.0,4.0,2.1,2.67
Migraine < Control,Cortical,,,,,,
,Parietal,,,,,,
,Angular,R,42.0,-62.0,48.0,1.46,3.88
,Cingulum,,,,,,
,Middle,L,-2.0,22.0,32.0,2.62,3.41
,Brainstem/cerebellum,,,,,,
,Cerebellum 8,R,22.0,-54.0,-48.0,1.29,3.42
SMN –B (21),Cortical,,,,,,
Migraine > Control,Frontal,,,,,,
,Mid. Orbital,L,-2.0,54.0,-4.0,1.47,3.19
,,R,26.0,-2.0,48.0,9.7,4.05
,,R,42.0,-2.0,56.0,1.44,2.79
,Inf. Orbital,L,-22.0,10.0,-24.0,1.05,3.64
,Sup. Orbital,R,30.0,2.0,60.0,2.06,3.27
,,R,30.0,-14.0,60.0,1.73,3.78
,Inf. Triangular,L,-46.0,18.0,8.0,1.09,2.72
,Inf. Operculum,R,58.0,14.0,16.0,1.13,3.43
,,R,34.0,6.0,28.0,2.28,3.07
,SMA,R,2.0,10.0,52.0,3.7,3.12
,,R,6.0,18.0,56.0,2.7,3.08
,,L,-10.0,2.0,60.0,3.07,2.99
,,R,6.0,-14.0,64.0,3.8,2.67
,,R,14.0,-18.0,68.0,1.26,2.55
,Precentral,R,46.0,6.0,40.0,1.94,2.7
,,L,-30.0,-18.0,56.0,8.14,3.28
,,R,46.0,-10.0,36.0,1.42,3.3
,Middle,L,-30.0,18.0,44.0,2.45,2.76
,Superior,L,-22.0,-2.0,56.0,1.1,2.53
,,R,10.0,42.0,40.0,7.58,2.83
,Rectus,R,6.0,34.0,-16.0,1.14,2.88
,Sup. Medial,L,-2.0,22.0,40.0,14.74,3.35
,Parietal,,,,,,
,Postcentral,R,34.0,-34.0,60.0,1.28,2.6
,,L,-30.0,-38.0,64.0,3.85,2.81
,,R,30.0,-46.0,56.0,2.45,3.74
,Precuneus,L,-2.0,-58.0,16.0,1.85,2.64
,Occipital,,,,,,
,Rolandic Operculum,R,54.0,2.0,16.0,2.28,3.28
,Inferior,R,50.0,-70.0,-16.0,1.33,2.84
,Temporal,,,,,,
,Superior,L,-62.0,-6.0,0.0,1.99,3.18
,Heschl,R,54.0,-14.0,8.0,1.93,3.16
,Fusiform,L,-42.0,-54.0,-12.0,1.04,3.13
,,L,-34.0,-82.0,-16.0,1.74,2.69
,Cingulum,,,,,,
,Anterior,R,2.0,34.0,-8.0,1.84,2.83
,,R,6.0,10.0,28.0,1.56,2.88
,Middle,R,10.0,14.0,40.0,1.38,2.59
,,R,2.0,2.0,44.0,1.36,2.5
,,L,-6.0,-10.0,36.0,2.66,3.17
,,R,10.0,-26.0,36.0,1.39,3.19
,Sub-cortical,,,,,,
,Putamen,R,26.0,18.0,4.0,1.89,3.39
,,L,-26.0,-2.0,8.0,2.19,3.31
,,,,,,,
