Brain regions,Abbr.,Brain regions.1,Abbr..1
Anterior insula,AINS,Postcentral gyrus,PoCG
Anterior cingulate cortex,ACC,Posterior cingulate gyrus,PCG
Angular gyrus,ANG,Precentral gyrus,PreCG
Calcarine fissure,CAL,Precuneus,PCUN
Cuneus,CUN,Posterior insula,PINS
Fusiform gyrus,FFG,Putamen,PUT
Gyrus rectus,REC,Rolandic operculum,ROL
Heschl gyrus,HES,Superior frontal gyrus,SFG
Hippocampus,HIP,"Superior frontal gyrus, medial",SFGmed
"Inferior frontal gyrus, opercular part",IFGoperc,"Superior frontal gyrus, orbital part",ORBsup
"Inferior frontal gyrus, orbital part",ORBinf,"Superior frontal gyrus, medial orbital",ORBsupmed
"Inferior frontal gyrus, triangular part",IFGtriang,Superior Occipital gyrus,SOG
Inferior occipital gyrus,IOG,Superior parietal gyrus,SPG
Inferior temporal gyrus,ITG,Superior temporal gyrus,STG
Insula,INS,Superior temporal pole,STmP
Lingual gyrus,LING,Supplementary motor cortex,SMA
Middle frontal gyrus,MFG,Supramarginal gyrus,SMG
"Middle frontal gyrus, orbital part",ORBmid,Thalamus,Thal
Middle cingulate cortex,MCC,Cerebellum Crus II,CRII
Middle occipital gyrus,MOG,Cerebellar lobule IV–V,IV–V
Middle temporal gyrus,MTG,Cerebellar lobule VIII,VIII
Olfactory cortex,OLF,Cerebellar lobule IX,IX
Periaqueductal gray gyrus,PAG,,
,,,
