Unnamed: 0,N voxels,Z score,Peak-t MNI coordinates,Anatomical locations,% cluster,% region
Increased rsFC at PCC (Fig. ???a),5737.0,4.63,"24, − 62, 61",Parietal lobe,,
Increased rsFC at PCC (Fig. ???a),,,,Postcentral_R,9.87,48.36
Increased rsFC at PCC (Fig. ???a),,,,Parietal_Sup_R,7.5,63.21
Increased rsFC at PCC (Fig. ???a),,,,Parietal_Sup_L,6.14,55.68
Increased rsFC at PCC (Fig. ???a),,,,Postcentral_L,5.44,26.18
Increased rsFC at PCC (Fig. ???a),,,,Precuneus_L,3.96,21.02
Increased rsFC at PCC (Fig. ???a),,,,Paracentral_Lobule_R,2.58,57.82
Increased rsFC at PCC (Fig. ???a),,,,Precuneus_R,2.2,12.6
Increased rsFC at PCC (Fig. ???a),,,,Parietal_Inf_L,2.07,15.88
Increased rsFC at PCC (Fig. ???a),,,,Paracentral_Lobule_L,1.43,19.85
Increased rsFC at PCC (Fig. ???a),,,,Parietal_Inf_R,1.19,16.51
Increased rsFC at PCC (Fig. ???a),,,,Temporal lobe,,
Increased rsFC at PCC (Fig. ???a),,,,Temporal_Sup_R,5.42,32.34
Increased rsFC at PCC (Fig. ???a),,,,Temporal_Mid_R,2.49,10.59
Increased rsFC at PCC (Fig. ???a),,,,Heschl_R,1.03,77.39
Increased rsFC at PCC (Fig. ???a),,,,Occipital lobe,,
Increased rsFC at PCC (Fig. ???a),,,,Cuneus_R,4.32,56.88
Increased rsFC at PCC (Fig. ???a),,,,Lingual_L,3.92,35.08
Increased rsFC at PCC (Fig. ???a),,,,Lingual_,3.77,30.67
Increased rsFC at PCC (Fig. ???a),,,,Cuneus_L,3.75,46.02
Increased rsFC at PCC (Fig. ???a),,,,Occipital_Mid_R,3.42,30.51
Increased rsFC at PCC (Fig. ???a),,,,Occipital_Sup_L,2.74,37.54
Increased rsFC at PCC (Fig. ???a),,,,Occipital_Mid_L,2.72,15.58
Increased rsFC at PCC (Fig. ???a),,,,Occipital_Sup_R,2.58,34.21
Increased rsFC at PCC (Fig. ???a),,,,Calcarine_R,1.78,17.9
Increased rsFC at PCC (Fig. ???a),,,,Calcarine_L,1.66,13.74
Increased rsFC at PCC (Fig. ???a),,,,Fusiform_R,1.43,10.64
Increased rsFC at PCC (Fig. ???a),,,,Occipital_Inf_R,1.01,19.15
Increased rsFC at PCC (Fig. ???a),,,,Frontal lobe,,
Increased rsFC at PCC (Fig. ???a),,,,Precentral_R,4.25,23.57
Increased rsFC at PCC (Fig. ???a),,,,Rolandic_Oper_R,2.96,41.72
Increased rsFC at PCC (Fig. ???a),,,,Insula,,
Increased rsFC at PCC (Fig. ???a),,,,Insula_R,2.21,23.44
Increased rsFC at PCC (Fig. ???a),313.0,3.94,"− 47, − 38, 28",Temporal lobe,,
Increased rsFC at PCC (Fig. ???a),,,,Temporal_Sup_L,45.37,20.2
Increased rsFC at PCC (Fig. ???a),,,,Insula,,
Increased rsFC at PCC (Fig. ???a),,,,Insula_L,2.88,1.58
Increased rsFC at PCC (Fig. ???a),,,,Parietal lobe,,
Increased rsFC at PCC (Fig. ???a),,,,SuperMarginal_L,39.3,31.99
Increased rsFC at PCC (Fig. ???a),,,,Postcentral_L,3.19,0.84
Increased rsFC at PCC (Fig. ???a),,,,Frontal lobe,,
Increased rsFC at PCC (Fig. ???a),,,,Rolandic_Oper_L,8.63,8.91
Increased rsFC at PCC (Fig. ???a),589.0,3.56,"− 59, 1, 34",Parietal lobe,,
Increased rsFC at PCC (Fig. ???a),,,,Postcentral_L,43.12,21.32
Increased rsFC at PCC (Fig. ???a),,,,Frontal lobe,,
Increased rsFC at PCC (Fig. ???a),,,,Precentral_L,42.78,23.34
Increased rsFC at PCC (Fig. ???a),,,,Frontal_Inf_Oper_L,6.79,12.59
Increased rsFC at PCC (Fig. ???a),,,,Frontal_Sup_L,2.89,1.54
Increased rsFC at PCC (Fig. ???a),,,,Rolandic_Oper_L,1.87,3.63
Increased rsFC at RMT (Fig. ???b),332.0,3.84,"3, 57, 28",Frontal lobe,,
Increased rsFC at RMT (Fig. ???b),,,,Frontal_Sup_Medial_L,67.77,24.56
Increased rsFC at RMT (Fig. ???b),,,,Frontal_Sup_Medial_R,30.42,15.46
Increased rsFC at RMT (Fig. ???b),,,,Frontal_Sup_L,1.51,0.45
Increased rsFC at RMT (Fig. ???b),294.0,3.76,"53, − 70, 19",Temporal lobe,,
Increased rsFC at RMT (Fig. ???b),,,,Temporal_Mid_R,74.49,16.22
Increased rsFC at RMT (Fig. ???b),,,,Temporal_Sup_R,8.84,2.7
Increased rsFC at RMT (Fig. ???b),,,,Temporal_Inf_R,1.36,0.37
Increased rsFC at RMT (Fig. ???b),,,,Occipital lobe,,
Increased rsFC at RMT (Fig. ???b),,,,Occipital_Mid_R,7.82,3.58
Increased rsFC at RMT (Fig. ???b),,,,Parietal lobe,,
Increased rsFC at RMT (Fig. ???b),,,,Angular_R,7.48,4.1
