Peak-based localization,HS,Cluster extent,T Score,MNI coordinates,MNI coordinates,MNI coordinates,FWE P-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1
l-FPN,l-FPN,l-FPN,l-FPN,l-FPN,l-FPN,l-FPN,l-FPN
Memory anosognosia (−),,,,,,,
Posterior cingulate cortex (BA 30),L,298,4.70,−20,−62,8,0.020
Lingual gyrus (BA 19),L,,4.59,−22,−68,−4,
Lingual gyrus (BA 18),L,,3.05,−16,−70,−12,
Total anosognosia (−),,,,,,,
Lingual gyrus (BA 19),L,375,5.22,−22,−68,−4,0.006
Posterior cingulate cortex (BA 30),L,,4.49,−24,−62,4,
Posterior cingulate cortex (BA 30),L,,3.75,−14,−66,4,
,,,,,,,
r-FPN,r-FPN,r-FPN,r-FPN,r-FPN,r-FPN,r-FPN,r-FPN
,,,,,,,
Total anosognosia (+),,,,,,,
Inferior occipital cortex (BA19),L,264,4.89,−40,−74,−14,0.036
Inferior occipital cortex (BA19),L,,4.50,−36,−80,−10,
Lingual gyrus (BA 18),L,,3.36,−16,−84,−12,
,,,,,,,
aDMN,aDMN,aDMN,aDMN,aDMN,aDMN,aDMN,aDMN
,,,,,,,
Non-memory anosognosia (+),,,,,,,
Cerebellum—culmen,L,263,5.21,−12,−48,−14,0.038
Cerebellum—culmen,R,,4.94,4,−52,−14,
Cerebellum—culmen,L,,3.49,−6,−36,−8,
Total anosognosia (+),,,,,,,
Anterior cingulate cortex (BA 24),R,261,4.35,10,18,20,0.039
Anterior cingulate cortex (BA 24),R,,3.70,16,28,16,
