Peak-based localization,HS,Cluster extent,T score,MNI coordinates,MNI coordinates,MNI coordinates,FWE P-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1
Memory anosognosia,Memory anosognosia,Memory anosognosia,Memory anosognosia,Memory anosognosia,Memory anosognosia,Memory anosognosia,Memory anosognosia
Reduced connectivity,Reduced connectivity,Reduced connectivity,Reduced connectivity,Reduced connectivity,Reduced connectivity,Reduced connectivity,Reduced connectivity
Right anterior cingulate cortex seed,,,,,,,
Caudate,R,383,3.96,30,−34,6,0.025
Fusiform gyrus (BA 20),R,,3.76,42,−36,−16,
Fusiform gyrus (BA 20),R,,3.54,48,−12,−20,
Right hippocampus seed,,,,,,,
Caudate,R,394,4.11,12,14,8,0.016
Thalamus,R,,3.73,4,−4,4,
Caudate,R,,3.57,14,18,−2,
Left hippocampus seed,,,,,,,
Middle frontal gyrus (BA 46),R,333,4.78,46,34,28,0.040
Middle frontal gyrus (BA 9),R,,4.38,34,38,38,
Middle frontal gyrus (BA 9),R,,3.68,46,26,38,
,,,,,,,
Increased connectivity,Increased connectivity,Increased connectivity,Increased connectivity,Increased connectivity,Increased connectivity,Increased connectivity,Increased connectivity
,,,,,,,
Right precuneus seed,,,,,,,
Fusiform gyrus (BA 37),L,358,4.57,−48,−44,−14,0.028
Fusiform gyrus (BA 20),L,,4.42,−44,−36,−16,
Lingual gyrus,L,,4.05,−26,−66,−4,
Right posterior cingulate cortex seed,,,,,,,
Posterior cingulate (BA 30),R,407,4.15,30,−66,6,0.025
Inferior occipital gyrus (BA 19),R,,3.41,34,−74,−6,
Cuneus (BA 17),R,,3.39,22,−76,2,
Left anterior cingulate cortex seed,,,,,,,
Postcentral gyrus (BA 3),L,346,4.52,−38,−32,58,0.029
Precentral gyrus (BA 4),L,,4.08,−30,−32,66,
Postcentral gyrus (BA 3),L,,3.85,−22,−36,60,
