Unnamed: 0,Normal,MOAD,OOAD
N,8,17,19
Sex (female:male),7:1,11:6,13:6
Age,75.6 ± 5.6,75.0 ± 4.6,84.8 ± 3.1???
,,,
Total MMSE-J,28.3 ± 1.5,21.4 ± 3.5,18.8 ± 4.3
,,,
Time orientation,4.5 ± 0.8,3.2 ± 1.3,2.4 ± 1.3
Place orientation,5.0,3.5 ± 1.0,3.6 ± 1.1
Immediate recall,3.0,2.8 ± 0.5,2.8 ± 0.5
Calculation,4.5 ± 0.8,2.7 ± 1.5,2.1 ± 1.3
Delayed recall,2.4 ± 0.7,1.4 ± 1.2,0.6 ± 0.8???
Naming,2.0,1.9 ± 0.2,2.0 ± 0.2
Repeating,0.9 ± 0.4,0.8 ± 0.4,0.7 ± 0.5
Three orders,3.0,2.7 ± 0.5,2.6 ± 0.5
Reading,1.0,1.0,1.0
Writing,1.0,0.8 ± 0.4,0.6 ± 0.5
Copying,1.0,0.7 ± 0.5,0.6 ± 0.5
