Subtraction Contrast,Region,x,y,z,Voxel,T
Normal,Precuneus,-4,-72,46,190,2061.1
Normal,,18,-70,38,26,371.1
Normal,,-12,-60,20,22,4.4
Normal,,8,-46,6,20,3.8
Normal,Medial frontal cortex,-4,56,-10,69,723.3
Normal,Left angular gyrus,-44,-62,20,30,4.4
Normal,Right cuneal,16,-66,20,15,183.0
Normal,Right inferior LOC,56,-64,12,20,3.9
Normal,Left superior LOC,-38,-70,32,18,3.7
MOAD,Precuneus,-6,-60,34,"17,943",40.2
MOAD,Right frontal pole,2,56,-14,884,8.6
MOAD,,24,32,44,298,7.9
MOAD,Cerebellum,6,-60,-46,491,8.6
MOAD,,-14,-84,-40,133,7.4
MOAD,Left anterior MTG,-62,-6,-20,129,10.5
MOAD,Right anterior MTG,60,-2,-18,96,6.2
OOAD,Precuneus,0,-64,34,"7,896",80.8
OOAD,Left superior LOC,-30,-74,30,"1,207",21.6
OOAD,Right superior LOC,34,-66,34,969,14.6
OOAD,Right frontal pole,8,62,-4,701,37.9
OOAD,Left anterior MTG,-58,-2,-22,213,14.1
OOAD,Right SFG,26,32,40,203,12.6
OOAD,Right anterior MTG,58,-8,-28,178,13.1
OOAD,Cerebellum,6,-56,-42,88,13.1
OOAD,,26,-48,-48,40,8.7
OOAD,Subcallosal cortex,10,24,-14,62,11.4
OOAD,Left SFG,-24,28,42,57,8.8
OOAD,Left Angular Gyrus,-36,-78,-42,51,9.3
MOAD > OOAD,SPL,26,-52,48,74,6.9
MOAD > OOAD,Brainstem,6,-46,-66,93,5.0
