Unnamed: 0_level_0,P-values,P-values,P-values
Features,Pearson,Spearman,Kendall
Correlation,Pearson,Spearman,Kendall
Degree,1.0,0.1586,0.1641
Strength,0.0026,0.0036,0.0023
Radius,0.2009,0.1689,0.2282
Diameter,0.4882,0.4483,0.4819
Eccentricity,0.3295,0.4118,0.4251
Characteristic Path Length,0.0112,0.0132,0.011
Global Efficiency,0.0018,0.0035,0.0031
Local Efficiency,0.0018,0.0223,0.0021
Clustering,0.006,0.0035,0.0028
Transitivity,0.0074,0.0031,0.0034
Modularity,0.057,0.0443,0.0395
Small Worldness,0.6274,0.2615,0.1484
