Window lengths,20 s,40 s,60 s,80 s,100 s,120 s,140 s
Subject01,0.09,0.58,0.67,0.51,0.73,0.57,0.44
Subject02,0.08,0.43,0.49,0.32,0.57,0.56,0.56
Subject03,0.36,0.45,0.59,0.53,0.68,0.49,0.48
Subject04,0.21,0.62,0.57,0.47,0.57,0.45,0.12
Subject05,0.18,0.17,0.55,0.44,0.62,0.62,0.59
Subject06,0.22,0.26,0.35,0.46,0.55,0.69,0.08
Subject07,0.21,0.56,0.39,0.23,0.47,0.41,0.5
Subject08,0.26,0.58,0.43,0.31,0.51,0.3,0.32
Subject09,0.27,0.3,0.28,0.25,0.5,0.54,0.19
Subject10,0.16,0.08,0.18,0.17,0.57,0.41,0.37
Subject11,0.09,0.13,0.01,0.0,0.44,0.21,0.27
Subject12,0.14,0.29,0.21,0.18,0.58,0.55,0.19
Subject13,0.21,0.26,0.19,0.15,0.39,0.19,0.18
Subject14,0.36,0.44,0.36,0.15,0.35,0.12,0.29
Subject15,0.13,0.23,0.21,0.2,0.48,0.28,0.31
Subject16,0.13,0.5,0.57,0.12,0.3,0.16,0.07
Subject17,0.15,0.29,0.06,0.0,0.26,0.1,0.12
Subject18,0.06,0.27,0.19,0.19,0.63,0.21,0.07
Subject19,0.24,0.19,0.08,0.0,0.4,0.23,0.15
Subject20,0.08,0.44,0.55,0.65,0.77,0.65,0.65
Subject21,0.32,0.42,0.42,0.26,0.6,0.49,0.46
Subject22,0.23,0.4,0.33,0.31,0.35,0.27,0.27
Subject23,0.11,0.27,0.37,0.39,0.56,0.27,0.22
Subject24,0.11,0.05,0.02,0.0,0.17,0.07,0.23
Subject25,0.26,0.61,0.6,0.57,0.71,0.64,0.64
Subject26,0.25,0.27,0.18,0.0,0.38,0.12,0.11
Subject27,0.32,0.29,0.44,0.0,0.58,0.05,0.12
Subject28,0.14,0.4,0.23,0.21,0.44,0.23,0.2
Subject29,0.4,0.32,0.29,0.19,0.47,0.37,0.36
Subject30,0.18,0.29,0.27,0.19,0.37,0.3,0.24
Subject31,0.17,0.51,0.58,0.56,0.61,0.57,0.57
Averaged case,0.57,0.71,0.78,0.66,0.71,0.58,0.51
Mean score,0.209,0.363,0.358,0.271,0.51,0.366,0.309
