Unnamed: 0_level_0,NAA/Cr,NAA/Cr,NAA/Cr,NAA/Cr,Ins/Cr,Ins/Cr,Ins/Cr,Ins/Cr
Unnamed: 0_level_1,b,95%CI,BSR,p,b,95%CI,BSR,p
ACU,–,–,–,–,–,–,–,–
RTP,0.095,"[−0.039, 0.276]",1.43,0.146,0.230,"[0.073, 0.37]",3.08,0.009
1MO,−0.101,"[−0.235, 0.058]",−1.23,0.220,0.276,"[0.108, 0.437]",3.44,0.004
1YR,−0.121,"[−0.402, 0.166]",−0.91,0.332,0.021,"[−0.234, 0.324]",0.22,0.740
ACU:HOC,0.034,"[−0.111, 0.195]",0.51,0.606,−0.031,"[−0.222, 0.149]",−0.40,0.684
RTP:HOC,−0.034,"[−0.214, 0.097]",−0.70,0.490,−0.278,"[−0.43, −0.126]",−3.58,<0.001
1MO:HOC,0.151,"[0.026, 0.272]",2.39,0.024,−0.347,"[−0.528, −0.194]",−4.28,<0.001
1YR:HOC,0.265,"[−0.074, 0.596]",1.51,0.114,−0.225,"[−0.584, 0.078]",−1.39,0.130
ACU:dACU,0.061,"[0.003, 0.117]",2.12,0.042,−0.034,"[−0.118, 0.026]",−1.38,0.166
RTP:dRTP,−0.001,"[−0.084, 0.088]",0.03,0.986,−0.004,"[−0.1, 0.113]",−0.08,0.902
1MO:dRTP,−0.082,"[−0.163, 0.014]",−1.69,0.094,0.005,"[−0.089, 0.104]",−0.01,0.920
1YR:dRTP,−0.121,"[−0.267, 0.098]",−1.15,0.210,−0.032,"[−0.332, 0.217]",−0.33,0.646
