Unnamed: 0,Cluster,Center of mass,Center of mass.1,Center of mass.2,Brain region,Cluster size (mm3),Peak value (correlation)
ACU,1,−18,−15,57,Superior corona radiata L,1593,−0.69
ACU,2,15,−9,30,Body of corpus callosum R,1458,−0.49
ACU,3,42,−36,−9,Sagittal stratum R,1215,−0.58
ACU,4,−21,−51,18,Splenium of corpus callosum L,999,−0.55
ACU,5,3,−39,18,Splenium of corpus callosum R,918,−0.57
ACU,6,33,−60,12,Posterior thalamic radiation R,783,−0.49
RTP,1,18,−45,24,Splenium of corpus callosum R,1161,−0.74
1MO,1,−27,9,21,Superior corona radiata L,2241,0.59
1MO,2,18,45,3,Anterior corona radiata R,1215,0.65
1MO,3,24,15,15,Anterior corona radiata R,918,0.56
1MO,4,−42,−15,−18,Sagittal stratum L,864,0.60
1YR,1,−24,−27,30,Posterior corona radiata L,864,−0.64
1YR,2,24,−24,30,Superior corona radiata R,702,−0.63
1YR,3,−15,36,39,Anterior corona radiata L,594,0.69
