Unnamed: 0,Unnamed: 1,corr,95%CI,pcorr,95%CI.1,|pcorr|-|corr|,95%CI.2,p
FA,ACU,0.693,"[0.475, 0.839]",0.693,"[0.482, 0.848]",0.001,"[−0.083, 0.074]",0.481
FA,RTP,−0.648,"[−0.832, −0.372]",−0.435,"[−0.738, −0.053]",−0.212,"[−0.462, −0.033]",0.005
FA,1MO,−0.718,"[−0.892, −0.472]",−0.705,"[−0.865, −0.478]",−0.014,"[−0.123, 0.105]",0.374
FA,1YR,–,–,–,–,–,–,–
MD,ACU,−0.680,"[−0.828, −0.453]",−0.696,"[−0.842, −0.479]",0.016,"[−0.057, 0.103]",0.297
MD,RTP,−0.647,"[−0.831, −0.393]",−0.517,"[−0.780, −0.193]",−0.127,"[−0.325, 0.037]",0.071
MD,1MO,0.645,"[0.370, 0.829]",0.540,"[0.246, 0.766]",−0.104,"[−0.280, 0.045]",0.075
MD,1YR,−0.611,"[−0.835, −0.327]",−0.579,"[−0.823, −0.247]",−0.032,"[−0.199, 0.077]",0.339
Fconn,ACU,0.765,"[0.536, 0.913]",0.767,"[0.508, 0.923]",0.002,"[−0.070, 0.061]",0.419
Fconn,RTP,−0.618,"[−0.819, −0.306]",−0.520,"[−0.792, −0.186]",−0.098,"[−0.283, 0.055]",0.123
Fconn,1MO,−0.752,"[−0.892, −0.552]",−0.681,"[−0.848, −0.390]",−0.072,"[−0.266, 0.051]",0.153
Fconn,1YR,−0.760,"[−0.907, −0.530]",−0.728,"[−0.894, −0.498]",−0.032,"[−0.159, 0.055]",0.278
