IC regions,Tmax,Peak coordinate,Peak coordinate,Peak coordinate
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z
Auditory network,,,,
IC20 Bi Superior Temporal Gyrus,18.9,62.5,–18.5,8.5
Default mode network,,,,
IC23 Bi Cuneus,17.3,5.5,–98.5,14.5
IC26 Precuneus,23.7,–3.5,–80.5,45.5
IC40 Precuneus,23.1,–0.5,–69.5,9.5
IC44 Posterior Cingulate Cortex,25.8,0.5,–69.5,39.5
IC46 Medial Prefrontal Cortex,23.3,–0.5,56.5,9.5
Executive control network,,,,
IC6 L Lateral Occipital Cortex,24.2,–36.5,–71.5,47.5
IC14 Bi Middle Frontal Gyrus,18.0,62.5,–3.5,23.5
IC35 R Lateral Occipital Cortex,22.9,44.5,–57.5,53.5
IC41 Bi Lateral Occipital Cortex,25.6,41.5,–74.5,35.5
IC49 Bi Superior Parietal Lobule,20.3,21.5,–68.5,59.5
Language network,,,,
IC32 L Inferior Frontal Gyrus,21.5,–53.5,27.5,14.5
IC37 L Angular Gyrus,17.1,–56.5,–56.5,27.5
Sensorimotor network,,,,
IC8 L Pre-central/Post-central Gyrus,18.8,–36.5,–39.5,68.5
IC11 R Pre-central/Post-central Gyrus,16.4,45.5,–36.5,63.5
Salience network,,,,
IC43 Dorsal Anterior Cingulate Cortex,22.6,2.5,–12.5,74.5
IC45 Bi Insular,21.6,38.5,14.5,–23.5
Visual network,,,,
IC7 L Fusiform,12.8,–38.5,–83.5,–21.5
IC13 L Lingual,14.1,12.5,–93.5,–14.5
IC18 R Lingual,15.6,26.5,–90.5,–18.5
IC24 R Fusiform,15.4,50.5,–65.5,–21.5
