ROI ID:,ROI name:,ROI ID:.1,ROI name:.1
0,Right primary motor area,52,Left primary motor area
1,Right secondary motor area,53,Left secondary motor area
2,"Right primary somatosensory area, nose",54,"Left primary somatosensory area, nose"
3,"Right primary somatosensory area, barrel field",55,"Left primary somatosensory area, barrel field"
4,"Right primary somatosensory area, lower limb",56,"Left primary somatosensory area, lower limb"
5,"Right primary somatosensory area, mouth",57,"Left primary somatosensory area, mouth"
6,"Right primary somatosensory area, upper limb",58,"Left primary somatosensory area, upper limb"
7,Right supplemental somatosensory area,59,Left supplemental somatosensory area
8,Right gustatory areas,60,Left gustatory areas
9,Right visceral area,61,Left Visceral area
10,Right dorsal auditory area,62,Left dorsal auditory area
11,Right primary auditory area,63,Left primary auditory area
12,Right ventral auditory area,64,Left ventral auditory area
13,Right primary visual area,65,Left primary visual area
14,"Right anterior cingulate area, dorsal part",66,"Left anterior cingulate area, dorsal part"
15,"Right anterior cingulate area, ventral part",67,"Left anterior cingulate area, ventral part"
16,"Right agranular insular area, dorsal part",68,"Left agranular insular area, dorsal part"
17,"Right retrosplenial area, dorsal part",69,"Left retrosplenial area, dorsal part"
18,"Right retrosplenial area, ventral part",70,"Left retrosplenial area, ventral part"
19,Right temporal association areas,71,Left temporal association areas
20,Right perirhinal area,72,Left perirhinal area
21,Right ectorhinal area,73,Left ectorhinal area
22,Right main olfactory bulb,74,Left main olfactory bulb
23,Right anterior olfactory nucleus,75,Left anterior olfactory nucleus
24,Right piriform area,76,Left piriform area
25,"Right cortical amygdalar area, posterior part",77,"Left cortical amygdalar area, posterior part"
26,Right field CA1,78,Left field CA1
27,Right field CA3,79,Left field CA3
28,Right dentate gyrus,80,Left dentate gyrus
29,"Right entorhinal area, lateral part",81,"Left entorhinal area, lateral part"
30,"Right entorhinal area, medial part, dorsal zone",82,"Left entorhinal area, medial part, dorsal zone"
31,Right subiculum,83,Left subiculum
32,Right caudoputamen,84,Left caudoputamen
33,Right nucleus accumbens,85,Left nucleus accumbens
34,Right olfactory tubercle,86,Left olfactory tubercle
35,Right substantia innominata,87,Left substantia innominata
36,Right lateral hypothalamic area,88,Left lateral hypothalamic area
37,"Right superior colliculus, sensory related",89,"Left superior colliculus, sensory related"
38,Right inferior colliculus,90,Left inferior colliculus
39,Right midbrain reticular nucleus,91,Left midbrain reticular nucleus
40,"Right superior colliculus, motor related",92,"Left superior colliculus, motor related"
41,Right periaqueductal gray,93,Left periaqueductal gray
42,"Right pontine reticular nucleus, caudal part",94,"Left pontine reticular nucleus, caudal part"
43,Right pontine reticular nucleus,95,Left pontine reticular nucleus
44,Right intermediate reticular nucleus,96,Left intermediate reticular nucleus
45,Right central lobule,97,Left central lobule
46,Right culmen,98,Left culmen
47,Right simple lobule,99,Left simple lobule
48,Right ansiform lobule,100,Left ansiform lobule
49,Right paramedian lobule,101,Left paramedian lobule
50,Right copula pyramidis,102,Left copula pyramidis
51,Right paraflocculus,103,Left paraflocculus
