Network,MNI Coordinates,MNI Coordinates,MNI Coordinates,Cluster size,Cluster p-FWE,p-unc peak,Side,Region
Unnamed: 0_level_1,x,y,Z,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1
Auditory,02,−02,38,191,0.001014,3e-06,L/R,Cingulate gyrus
,54,−24,30,114,0.020235,4.5e-05,R,Supramarginal gyrus
,46,10,−14,97,0.042207,1.7e-05,L,Temporal pole
Default mode,−08,−36,30,3019,0.0,0.0,L/R,Posterior cingulate gyrus
,04,46,08,1068,0.0,0.0,L/R,Paracingulate gyrus
,28,26,50,697,0.0,1e-06,R,Superior frontal gyrus
,−18,−18,−16,470,0.0,1e-06,L,Parahippocampal gyrus
,42,−56,20,278,5.6e-05,2e-06,R,Lateral occipital cortex
,22,−32,−22,196,0.000871,8e-06,R,Parahippocampal gyrus
,−38,−74,36,174,0.001934,1e-05,L,Lateral occipital cortex
,−20,40,50,172,0.002083,6.6e-05,L,Superior frontal gyrus
Executive control,48,−44,54,618,0.0,7e-06,R,Supramarginal gyrus
,−48,−46,−40,515,0.0,1.7e-05,L,Lateral occipital cortex
,−04,−74,−34,260,0.000146,0.0,L,Cerebellum
,36,58,02,149,0.006407,6e-06,R,Frontal pole
,−44,54,−04,125,0.016158,2.1e-05,L,Frontal pole
,60,−42,−08,123,0.017493,1.1e-05,R,Middle temporal gyrus
