fMRI acquisition paramerters,Dataset 1 (Badea et al.???),Dataset 2 (Badea et al.???),Dataset 3 (Tessa et al.???)
Anatomical,Anatomical,Anatomical,Anatomical
Repetition time (TR),1940 ms,1100 ms,1900 ms
Echo time (TE),3.08 ms,3.39,3.44 ms
Voxel size,0.97 × 0.97 × 1 mm,1 × 1 × 1 mm,0.859 × 0.859 × 0.86 mm
Inversion time,,,1100 ms
Field of view (FOV),,,220 × 220 mm
Matrix size,,,256 × 256
Functional,Functional,Functional,Functional
Repetition time (TR),3480 ms,2000 ms,2130 ms
Echo time (TE),50 ms,40 ms,40 ms
Flip angle,90 degrees,90 degrees,90 degrees
Voxel size,3.8 × 3.8 × 5 mm,4 × 4 × 5 mm,4 × 4 × 5 mm
Matrix size,64 × 64,64 × 64,64 × 64
Number of slices,27,32,32
Field of view,,256 × 256,256 × 256
Volumes (time),175 (8.05 min),239 (8 min),230 (8.17 min)
