Unnamed: 0_level_0,RSN,Brain region,"Cluster size, mm³","Peak MNI, mm","Peak MNI, mm","Peak MNI, mm",Peak T value
Unnamed: 0_level_1,RSN,Brain region,"Cluster size, mm³",x,y,z,Peak T value
CI > CN,AN,R_SM,94,66,−42,15,4.2077
CI > CN,,L_MTG,43,−51,−54,15,4.0314
CI > CN,RFPN,L_IPL,49,−51,−51,51,4.0384
CI > CN,DAN,R_MOG,41,48,−72,24,3.8232
CI > CN,,R_SFG,43,−21,39,45,4.3808
CI > CN,ECN,R_MFG,46,24,60,33,3.2725
CI > CN,VN,R_cuneus,94,12,−75,27,3.9469
CI < CN,SAN,L_IFG,49,−45,12,15,3.854
CI < CN,AN,R_STG,58,45,−30,−3,−5.038
CI < CN,LFPN,R_STG,44,63,−18,0,−3.3934
CI < CN,,R_SFG,48,30,27,54,−4.549
