Unnamed: 0,Estimate,Scaled estimate,Std. Error (scaled),t-value (scaled),Pr(>|t | )
(Intercept),0.12,,,,
Black race,−0.10,−1.46,0.28,5.29,0.0
Parents’ highest level of education (years),0.05,1.53,0.32,4.76,0.0
Census: % of people over age 25 with > = high school diploma,0.03,1.06,0.29,3.69,0.0
White race,0.06,0.98,0.29,3.42,0.001
Asian race,0.37,1.06,0.33,3.23,0.001
Census: % of labor force aged > =16 y unemployed,−0.02,−0.77,0.28,2.75,0.006
Census: % of families below the poverty level,−0.02,−0.70,0.26,2.71,0.007
Parent ethnic identification,0.03,0.87,0.33,2.68,0.007
Youth-reported school disengagement,−0.02,−0.81,0.31,2.61,0.009
Census: income disparity,−0.02,−0.67,0.26,2.57,0.01
LFPN-DMN x Public school,0.27,0.53,0.22,2.41,0.016
LFPN-DMN x Parent-reported neighborhood safety,−0.19,−0.67,0.29,2.35,0.019
Census: estimated lead risk,−0.02,−0.60,0.28,2.17,0.03
LFPN-DMN x Mixed race,0.74,0.65,0.31,2.07,0.038
Third generation American,−0.04,−0.52,0.25,2.04,0.042
LFPN-DMN x Parents’ highest level of education,0.15,0.52,0.27,1.9,0.057
LFPN-DMN,0.18,0.34,0.2,1.72,0.085
LFPN-DMN x Black race,−0.28,−0.43,0.25,1.7,0.089
LFPN-DMN x non-Hispanic,0.20,0.38,0.22,1.67,0.094
Mixed race,0.05,0.52,0.31,1.66,0.096
LFPN-DMN x White race,0.31,0.46,0.28,1.61,0.107
LFPN-DMN x Not in school,−3.15,−0.48,0.31,1.54,0.123
LFPN-DMN x Census: % of occupied units without complete plumbing,0.16,0.49,0.32,1.54,0.124
Parent never married,−0.03,−0.44,0.29,1.53,0.125
First generation American,0.03,0.38,0.27,1.4,0.16
LFPN-DMN x Hours/week spent at another household,−0.14,−0.46,0.33,1.39,0.165
Second generation American,0.04,0.40,0.31,1.29,0.197
LFPN-DMN x Parent self-reported intrusive behavior,0.15,0.39,0.31,1.27,0.206
Parent-reported neighborhood safety,0.01,0.37,0.31,1.18,0.238
