Brain regions,MNI coordinate,MNI coordinate,MNI coordinate,Cluster size,t score
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1
R. cerebellum anterior lobe,9.0,-36.0,-6.0,92.0,-7.2377
L. cerebellum anterior lobe,9.0,-36.0,-6.0,105.0,-7.2377
L. and R. pons,9.0,-36.0,-6.0,81.0,-7.2377
L. dentate,9.0,-36.0,-6.0,26.0,-7.2377
R. inferior parietal lobule,30.0,-39.0,33.0,33.0,-5.7002
L. parahippocampus,-42.0,-6.0,-24.0,108.0,-5.4155
L. lingual gyrus,-18.0,-54.0,-18.0,10.0,-5.1332
L. cerebellum anterior lobe,-18.0,-54.0,-18.0,23.0,-5.1332
L. cerebellum posterior lobe,-15.0,-57.0,-51.0,35.0,-5.0224
R. lingual gyrus,21.0,-60.0,-9.0,52.0,-4.8816
R. cerebellum anterior lobe,-18.0,-54.0,-18.0,11.0,-4.8816
R. middle temporal gyrus,51.0,-3.0,-18.0,33.0,-4.2308
,,,,,
