Frequency Band,Connection,Connection,Uncorrectedp-Value,Effect Size,Power
Frequency Band,Region 1,Region 2,Uncorrectedp-Value,Effect Size,Power
0.12–0.25 Hz,Right fusiform gyrus,Left superior temporal gyrus,0 1,−1.3560,0.9133
,Right rostral anterior cingulate cortex,Right pars opercularis,0 1,−1.0312,0.7143
,Right superior temporal gyrus,Right medial orbitofrontal cortex,0 1,−0.8439,0.5427
,Right superior parietal cortex,Left caudal anterior cingulate cortex,0 1,−0.7088,0.4116
,Right inferior temporal gyrus,Left banks superior temporal sulcus,0.0002441,−1.0550,0.7338
,Right rostral anterior cingulate cortex,Left pars opercularis,0.0002441,−1.0415,0.7228
0.06–0.12 Hz,Right medial orbitofrontal cortex,Right supramarginal gyrus,0 1,−0.8198,0.5192
,Right hippocampus,Right rostral middle frontal gyrus,0 1,−0.5818,0.2968
,Right fusiform gyrus,Left superior temporal gyrus,0.0002441,−1.1454,0.8012
,Right pars opercularis,Right rostral anterior cingulate cortex,0.0002441,−0.9197,0.6151
,Right rostral anterior cingulate cortex,Left pars opercularis,0.0004883,−0.9616,0.6538
,Right precentral gyrus,Left caudal anterior cingulate cortex,0.0004883,−0.8591,0.5575
0.03–0.06 Hz,Right thalamus,Right superior parietal cortex,0 1,−1.5722,0.9707
,Right cuneus cortex,Right precentral gyrus,0 1,−0.8869,0.5841
,Right lateral occipital cortex,Right pars opercularis,0 1,−1.2856,0.8828
,Right thalamus,Left superior parietal cortex,0.0002441,−1.6582,0.9822
0.015–0.03 Hz,Left caudal anterior cingulate cortex,Right supramarginal gyrus,0 1,−0.9047,0.601
,Left inferior temporal gyrus,Left pars opercularis,0 1,−1.2272,0.8522
,Left pars opercularis,Right fusiform gyrus,0 1,−0.8613,0.5595
,Right caudal middle frontal gyrus,Right pars triangularis,0 1,−0.8023,0.5021
,Left fusiform gyrus,Right precentral gyrus,0.0002441,−1.2953,0.8874
