Seed,Seed.1,MNI coordinates (mm),Seed.2,Seed.3,MNI coordinates (mm).1
Default mode network,Default mode network,,Salience network,Salience network,
1,Posterior cingulate cortex/precuneus,0 −52 7,15,Dorsal anterior cingulate cortex,0 21 36
2,Medial prefrontal cortex,−1 54 27,16,L-anterior prefrontal cortex,−35 45 30
3,L-lateral parietal cortex,−46 −66 30,17,R-anterior prefrontal cortex,32 45 30
4,R-lateral parietal cortex,49 −63 33,18,L-insula,−41 3 6
5,L-inferior temporal gyrus,−61 −24 −9,19,R-insula,41 3 6
6,R-inferior temporal gyrus,58 −24 −9,20,L-lateral parietal cortex,−62 −45 30
7,Medial dorsal thalamus,0 −12 9,21,R-lateral parietal cortex,62 −45 30
8,L-posterior cerebellum,−25 −81 −33,Limbic system,Limbic system,
9,R-posterior cerebellum,25 −81 −33,22,L-subgenual anterior cingulate cortex,−4 15 −11
Central executive network,Central executive network,,23,R-subgenual anterior cingulate cortex,4 15 −11
10,Dorsal medial prefrontal cortex,0 24 46,24,L-amygdala,−19 −2 −21
11,L-anterior prefrontal cortex,−44 45 0,25,R-amygdala,19 −2 −21
12,R-anterior prefrontal cortex,44 45 0,26,L-ventral hippocampus,−27 −15 −18
13,L-superior parietal lobule,−50 −51 45,27,R-ventral hippocampus,27 −15 −18
14,R-superior parietal lobule,50 −51 45,,,
