FC number,Seed,Brain region,MNI coordinates (mm),Cluster size,Peak T
MDD > NC,Default mode network,,,,
A,Posterior cingulate cortex/precuneus,R-paracentral gyrus,12 −24 69,73.0,4.94
B,L-inferior temporal gyrus,R-cuneus,21 −69 24,72.0,4.06
,Central executive network,,,,
C,R-anterior prefrontal gyrus,L-cerebellum_4_5,−3 −45 0,118.0,4.72
D,,R middle frontal gyrus,27 45 33,50.0,4.35
,Limbic system,,,,
E,R-amygdala,"L-inferior frontal gyrus, triangular part",−33 30 18,90.0,4.80
F,,L-rolandic operculum,−45 −3 21,97.0,4.45
G,L-ventral hippocampus,"R-inferior frontal gyrus, opercular part",54 9 21,47.0,4.45
H,,"L-inferior frontal gyrus, opercular part",−48 6 24,60.0,4.31
I,,"L-inferior frontal gyrus, orbital part",−36 24 −3,44.0,4.08
J,R-ventral hippocampus,"R-inferior frontal gyrus, opercular part",51 6 21,47.0,4.24
K,,"L-inferior frontal gyrus, opercular part",−54 9 27,59.0,3.80
NC > MDD,Default mode network,,,,
L,L-posterior cerebellum,L-precentral gyrus,−33 −24 66,54.0,−4.35
