Regions,MNI coordinates,MNI coordinates,MNI coordinates,Cluster size (Voxel number),t-value
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1
Right cerebellum posterior lobe,Right cerebellum posterior lobe,Right cerebellum posterior lobe,Right cerebellum posterior lobe,Right cerebellum posterior lobe,Right cerebellum posterior lobe
Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls
Left inferior parietal lobule,−51,−48,42,260,4.93
Left precentral gyrus,,,,102,
Right precuneus,36,−63,39,442,5.47
Right inferior parietal lobule,,,,183,
Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls
,,,,,
Left cerebellum posterior lobe,Left cerebellum posterior lobe,Left cerebellum posterior lobe,Left cerebellum posterior lobe,Left cerebellum posterior lobe,Left cerebellum posterior lobe
Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls,Stroke participants > healthy controls
Left precuneus,0,−36,27,85,4.88
Right precuneus,,,,78,
Left middle cingulum gyrus,,,,72,
Right middle cingulum gyrus,,,,71,
Right angular gyrus,51,−63,18,91,4.78
Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls,Stroke participants < healthy controls
,,,,,
