Cluster Location,L/R,Max Z,Peak (mm),Peak (mm),Peak (mm)
Cluster Location,L/R,Max Z,x,y,z
"L HG Seed: 1.5 Months, LR > HR","L HG Seed: 1.5 Months, LR > HR","L HG Seed: 1.5 Months, LR > HR","L HG Seed: 1.5 Months, LR > HR","L HG Seed: 1.5 Months, LR > HR","L HG Seed: 1.5 Months, LR > HR"
Supplementary Motor Area,R,2.87,5,−10,37
Precentral Gyrus,R,3.47,9,−20,47
Paracentral Lobule,R,3.27,6,−22,46
Postcentral Gyrus,R,3.05,7,−23,47
Supplementary Motor Area,L,2.65,1,−7,38
"L HG Seed: 9 Months, HR > LR","L HG Seed: 9 Months, HR > LR","L HG Seed: 9 Months, HR > LR","L HG Seed: 9 Months, HR > LR","L HG Seed: 9 Months, HR > LR","L HG Seed: 9 Months, HR > LR"
Postcentral Gyrus,L,3.06,−36,−35,50
Inferior Parietal Lobule,L,3.25,−27,−38,43
Superior Parietal Gyrus,L,3.01,−34,−36,50
Supramarginal Gyrus,L,2.35,−40,−18,25
"R pSTG Seed: 9 Months, LR > HR","R pSTG Seed: 9 Months, LR > HR","R pSTG Seed: 9 Months, LR > HR","R pSTG Seed: 9 Months, LR > HR","R pSTG Seed: 9 Months, LR > HR","R pSTG Seed: 9 Months, LR > HR"
Inferior Temporal Gyrus,R,3.98,38,−25,−16
Fusiform Gyrus,R,4.06,31,−34,−10
Hippocampus,R,3.54,30,−25,−6
Middle Temporal Gyrus,R,3.08,30,−50,7
Superior Temporal Gyrus,R,3.04,35,−16,−6
Parahippocampal Gyrus,R,3.44,28,−34,−4
Calcarine Cortex,R,2.52,26,−49,5
