Region,Hemisphere,x,y,Z,T,Cluster size (voxels)
LEFT ANTERIOR HIPPOCAMPUS SEED,LEFT ANTERIOR HIPPOCAMPUS SEED,LEFT ANTERIOR HIPPOCAMPUS SEED,LEFT ANTERIOR HIPPOCAMPUS SEED,LEFT ANTERIOR HIPPOCAMPUS SEED,LEFT ANTERIOR HIPPOCAMPUS SEED,LEFT ANTERIOR HIPPOCAMPUS SEED
Ant Hippocampus,R,24,−16,−16,−7.07,"1,418"
Angular gyrus,L,−50,−66,28,−4.38,"1,462"
Precuneus,B,−12,−52,16,−5.17,"2,613"
Frontal Pole,B,−10,62,14,−5.65,"3,140"
Entorhinal cortex,L,−24,−14,−32,3.9,207
LEFT POSTERIOR HIPPOCAMPUS SEED,LEFT POSTERIOR HIPPOCAMPUS SEED,LEFT POSTERIOR HIPPOCAMPUS SEED,LEFT POSTERIOR HIPPOCAMPUS SEED,LEFT POSTERIOR HIPPOCAMPUS SEED,LEFT POSTERIOR HIPPOCAMPUS SEED,LEFT POSTERIOR HIPPOCAMPUS SEED
Post hippocampus,R,26,−28,−14,−5.62,"2,680"
Posterior cingulate,B,12,−46,12,−4.24,
Anterior cingulate,B,4,44,12,−4.25,"1,580"
