Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Statistics,Statistics
Characteristics,Patients (N = 57),Healthy Participants (N = 116),t/χ 2,P
Unnamed: 0_level_2,Mean (SD),Mean (SD),Unnamed: 3_level_2,Unnamed: 4_level_2
Gender (male: female),39: 18,72: 44,χ 2 = .671,.413
Age (years),43.61 (11.51),40.15 (11.27),t(171) = 1.889,.061
Handedness N (right: left),51: 6,105: 10,χ 2 = .646,.724
Years of educationa,14.58 (2.57),17.17 (3.77),t(161) = −4.356,<.001**
Total CTQ Score,42.44 (14.80),36.23 (11.89),t(171) = 2.972,.003**
Emotional Abuse,10.04 (5.16),8.47 (4.18),t(171) = 1.987,.06
Physical Abuse,7.39 (4.42),6.55 (6.37),t(171) = 1.311,.194
Sexual Abuse,6.58 (4.36),5.56 (2.03),t(171) = 1.677,.098
Emotional Neglect,9.22 (4.35),5.61 (4.58),t(171) = 1.905,.06
Physical Neglect,7.82 (3.25),6.42 (2.49),t(171) = 2.868,.005**
Total WASI IQb,95.39 (17.53),110.27 (15.69),t(171) = −5.640,<.001**
Eyes Task (total score)c,24.51 (4.70),26.79 (4.45),t(170) = −3.110,.002**
Diagnosis (SZ: SZA),45: 12,-,-,-
Duration of Illness (years)f,18.42 (11.80),-,-,-
HDRS depressive symptom severity,2.88 (3.64),3.61 (3.88),t(147) = (−1.604),.214
PANSS Total Score g,38.66 (8.89),-,-,-
PANSS Positive Symptoms,8.51 (2.22),-,-,-
PANSS Negative Symptoms,9.95 (4.15),-,-,-
PANSS General Symptoms,20.20 (4.12),-,-,-
"Primary antipsychotic medicationh,i",(a) 4; (b) 11; (c) 1; (d) 11; (e) 2; (f) 4; (g) 5,-,-,-
Additional antipsychotic medicationj,(a) 5; (b) 3; (c) 10; (d) 0; (e) 2; (f) 1; (g) 1,-,-,-
Other medicationk,(a) 6,-,-,-
