Unnamed: 0_level_0,Dynamic graph feature,Dynamic graph feature,Dynamic graph feature,Dynamic graph feature,Unnamed: 5_level_0
Algorithm,NumModularity,ClusteringCOff,Shortest path,Betweenness,Concatenated
Nearest neighbors,0.562 (0.200),0.450 (0.171),0.531 (0.186),0.529 (0.194),0.437 (0.049)
Linear SVM,0.693 (0.133),0.486 (0.164),0.564 (0.165),0.500 (0.032),0.515 (0.074)
RBF SVM,0.548 (0.066),0.548 (0.066),0.548 (0.066),0.548 (0.066),0.548 (0.019)
Gaussian process,0.598 (0.123),0.448 (0.122),0.500 (0.152),0.598 (0.105),0.548 (0.019)
Decision tree,0.579 (0.201),0.436 (0.143),0.419 (0.182),0.567 (0.115),0.610 (0.153)
Random forest,0.517 (0.168),0.581 (0.162),0.467 (0.189),0.579 (0.155),0.421 (0.197)
FNN,0.662 (0.082),0.367 (0.149),0.514 (0.198),0.550 (0.143),0.533 (0.012)
AdaBoost,0.650 (0.121),0.310 (0.141),0.507 (0.152),0.581 (0.207),0.579 (0.068)
Voting,0.511 (0.222),0.474 (0.208),0.529 (0.099),0.593 (0.188),0.529 (0.099)
