Regions of interest,L/R,Center-of mass coordinates,Center-of mass coordinates,Center-of mass coordinates
Unnamed: 0_level_1,Unnamed: 1_level_1,x,y,z
Auditory cortices,Auditory cortices,Auditory cortices,Auditory cortices,Auditory cortices
M-TG,L,−57,−18,−15
,R,58,−17,−15
STG,L,−62,−23,12
,R,63,−24,12
,L,−46,−29,10
,R,47,−29,10
,L,−56,−25,5
,R,56,−22,3
Limbic system,Limbic system,Limbic system,Limbic system,Limbic system
NAc,L,−10,12,−13
,R,13,11,−13
AMYG,L,−24,−6,−18
,R,24,−6,−18
PHG,L,−26,−36,−10
,R,26,−36,−10
Pregenual ACC,L,−4,38,4
,R,4,38,4
Subgenual ACC,L,−4,26,−10
,R,4,26,−10
Ventromedial PFC,L,−3,44,−8
,R,3,44,−8
