Seed region,Brain regions,"Peak MNI coordinates x, y, z (mm)",Peak T value,Voxels
"STG.L (-62, −23, 12)",CER4_5.R,"18, −42, −26",−4.83,82
"STG.R (63, −24, 12)",CERCRU2.R,"3, −78, −39",−4.29,45
,CER6.R,"−15, −57, −25",−4.89,45
"STG.L (-56, −25, 5)",PreCG.L,"−18, −18, 69",−5.59,233
"STG.R (56, −22, 3)",CER8.L,"−30, −51, −57",−5.15,52
,CER6.L,"−12, −66, −24",−4.64,41
,MOG.L,"−39, −89, −7",−4.18,267
,ITG.L,"−36, 15, −41",−4.27,309
,PCL.L,"−9, −27, 72",−4.74,457
,CERCRU2.R,"6, −84, −42",−4.36,89
,AMYG.R,"24, −3, −15",−4.97,160
,PoCG.R,"60, −21, 45",−5.68,188
