ID,Features,Brain Network,SCC (N = 40),SCC (N = 40),BC (N = 49),BC (N = 49),p Values,Weight
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Mean,SD,Mean,SD,Unnamed: 7_level_1,Unnamed: 8_level_1
1,Pallidum_R–Angular_R,Subcortical-DMN,0.222,0.179,0.115,0.158,0.004,5.629
2,Temporal_Mid_R–Cingulum_Post_L,DMN-DMN,0.467,0.271,0.602,0.189,0.007,−3.573
3,Insula_R–Frontal_Inf_Tri_R,CON-SN,0.439,0.233,0.560,0.188,0.008,−2.735
4,Pallidum_L–Precuneus_L,Subcortical-DMN,0.295,0.191,0.295,0.191,0.006,2.221
5,Pallidum_L–Cingulum_Post_R,Subcortical-DMN,0.264,0.166,0.15,0.158,0.001,2.159
6,Cingulum_Post_L–Frontal_Inf_Tri_R,DMN-SN,0.154,0.227,0.023,0.228,0.008,2.144
7,Putamen_L–Frontal_Inf_Orb_L,Subcortical-Other regions,0.337,0.208,0.44,0.143,0.007,−1.888
8,Parietal_Inf_L–ParaHippocampal_L,FPCN-Other regions,0.156,0.229,0.287,0.167,0.002,−1.867
9,Thalamus_L–Rectus_R,Subcortical-Other regions,0.125,0.203,0.229,0.16,0.008,−1.433
10,Angular_L–Olfactory_L,DMN-Subcortical,0.145,0.21,0.281,0.224,0.004,−1.284
11,Temporal_Inf_R–Fusiform_L,DMN-Other regions,0.709,0.296,0.864,0.217,0.005,−1.150
12,Insula_R–Insula_L,CON-CON,1.134,0.215,1.261,0.232,0.009,−1.063
13,ParaHippocampal_L–Rectus_L,Other regions-Other regions,0.401,0.264,0.543,0.197,0.005,−1.027
14,Parietal_Inf_L–Frontal_Sup_Orb_R,FPCN-Other regions,0.293,0.191,0.410,0.162,0.002,−0.993
15,Temporal_Mid_R–Precuneus_L,DMN-DMN,0.557,0.282,0.688,0.183,<0.010,−0.918
16,SupraMarginal_R–Insula_R,AN-CON,0.593,0.241,0.744,0.219,0.003,−0.880
17,Cingulum_Post_L–Frontal_Sup_L,DMN-DMN,0.591,0.202,0.712,0.224,<0.010,−0.690
18,Parietal_Inf_L–Frontal_Sup_Orb_L,FPCN-Other regions,0.352,0.202,0.463,0.194,0.009,0.678
19,Temporal_Mid_R–Frontal_Mid_Orb_R,DMN-DMN,0.447,0.229,0.588,0.184,0.002,−0.526
20,Pallidum_R–Cingulum_Post_L,Subcortical-DMN,0.245,0.184,0.144,0.159,0.007,0.481
21,SupraMarginal_L–Insula_R,AN-CON,0.521,0.246,0.66,0.209,0.005,0.377
22,Occipital_Mid_L–Olfactory_L,VN-Subcortical,0.301,0.256,0.439,0.187,0.004,−0.342
23,Putamen_L–Frontal_Inf_Orb_R,Subcortical-AN,0.302,0.194,0.409,0.154,0.005,−0.337
24,Temporal_Mid_L–Frontal_Sup_L,DMN-DMN,0.637,0.282,0.791,0.216,0.005,0.243
25,Occipital_Inf_R–Frontal_Sup_Medial_L,VN-DMN,0.332,0.28,0.482,0.192,0.004,0.151
26,zALFF of Frontal_Mid_R,FPCN,−0.052,0.149,0.048,0.166,0.004,−1.345
27,zALFF of Frontal_Mid_L,FPCN,−0.022,0.17,0.079,0.185,0.009,1.064
28,zALFF of Cingulum_Mid_R,SN,−0.081,0.169,0.019,0.178,0.008,−0.965
29,zALFF of Frontal_Inf_Oper_R,FPCN,−0.209,0.123,−0.116,0.132,0.001,−0.781
30,zALFF of Frontal_Inf_Tri_R,SN,−0.242,0.118,−0.156,0.115,0.001,0.265
31,zALFF of Cingulum_Post_L,DMN,0.406,0.369,0.664,0.461,0.005,0.260
32,zfALFF of Occipital_Mid_L,VN,0.894,0.371,0.69,0.316,0.006,3.148
33,zfALFF of Occipital_Mid_R,VN,0.927,0.367,0.717,0.376,0.009,0.389
34,zReHo of Occipital_Sup_R,VN,0.586,0.3,0.412,0.311,0.009,−2.314
35,zReHo of Caudate_R,Subcortical,−0.307,0.239,−0.109,0.253,<0.001,−1.966
36,zReHo of Cingulum_Mid_R,SN,0.227,0.15,0.342,0.156,0.001,−1.272
37,zReHo of Cingulum_Ant_R,DMN,−0.004,0.188,0.110,0.211,<0.010,−1.158
38,zVMHC of Insula_R,CON,0.414,0.122,0.485,0.13,<0.010,−0.542
