ID,Features,Brain Network,SCC (N = 40),SCC (N = 40),HC (N = 34),HC (N = 34),p Values,Weight
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Mean,SD,Mean,SD,Unnamed: 7_level_1,Unnamed: 8_level_1
1,Cingulum_Ant_R–Frontal_Mid_Orb_R,DMN–DMN,0.607,0.26,0.783,0.263,0.005,−3.121
2,Temporal_Sup_L–Insula_L,AN–CON,0.822,0.202,0.650,0.246,0.001,2.750
3,Temporal_Pole_Sup_R–ParaHippocampal_R,DMN–Other regions,0.653,0.215,0.491,0.224,0.002,2.677
4,Cingulum_Ant_R–Frontal_Sup_Medial_R,DMN–DMN,0.756,0.171,0.922,0.203,<0.001,−2.285
5,Temporal_Sup_R–Insula_L,VAN–CON,0.604,0.211,0.457,0.253,0.008,1.639
6,Frontal_Mid_Orb_L–Frontal_Sup_Orb_R,DMN–Other regions,0.852,0.326,0.774,0.303,0.008,1.233
7,Temporal_Pole_Sup_L–ParaHippocampal_R,DMN–Other regions,0.606,0.254,0.430,0.248,0.004,0.004
8,zALFF of Frontal_Inf_Oper_R,FPCN,−0.209,0.123,0.080,0.189,0.001,−3.947
9,zALFF of Frontal_Inf_Oper_L,FPCN,−0.162,0.129,0.010,0.223,<0.001,0.633
10,zfALFF of Frontal_Inf_Tri_L,FPCN,0.166,0.223,0.327,0.241,0.004,−3.043
11,zfALFF of Insula_L,CON,0.220,0.232,0.383,0.264,0.006,−1.225
12,zfALFF of Temporal_Pole_Sup_R,DMN,0.471,0.236,−0.314,0.27,0.009,1.139
13,zfALFF of Frontal_Inf_Oper_L,FPCN,0.075,0.367,0.360,0.456,0.004,−0.546
14,zReHo of Frontal_Mid_R,FPCN,−0.446,0.25,−0.262,0.196,0.001,−3.864
15,zReHo of Insula_L,CON,−0.401,0.172,−0.279,0.179,0.004,−1.580
16,zReHo of Rolandic_Oper_L,AN,0.369,0.182,0.528,0.188,<0.001,−0.434
17,zDC of Cingulum_Ant_R,DMN,−0.527,0.11,−0.418,0.148,0.001,−3.346
