Brain region,Number of voxels,"Cluster size, mm3","MNI coordinates, mm","MNI coordinates, mm","MNI coordinates, mm",F score (max),p value
Brain region,Number of voxels,"Cluster size, mm3",x,y,z,F score (max),p value
MOH + CM VS HC,MOH + CM VS HC,MOH + CM VS HC,MOH + CM VS HC,MOH + CM VS HC,MOH + CM VS HC,MOH + CM VS HC,MOH + CM VS HC
Re habenula,7,56,4,-25,2,3.38,< 0.001
Lf habenula,7,56,-3,-25,2,3.09,0.002
MOH + CM VS EM,MOH + CM VS EM,MOH + CM VS EM,MOH + CM VS EM,MOH + CM VS EM,MOH + CM VS EM,MOH + CM VS EM,MOH + CM VS EM
R habenula,7,56,4,-23,2,2.73,0.006
L habenula,7,56,-3,-23,2,3.03,0.002
EM VS HC,EM VS HC,EM VS HC,EM VS HC,EM VS HC,EM VS HC,EM VS HC,EM VS HC
R habenula,0,0,3,-25,2,1.76,0.079
L habenula,0,0,4,-24,2,1.51,0.132
MOH + CM depression VS MOH + CM without depression,MOH + CM depression VS MOH + CM without depression,MOH + CM depression VS MOH + CM without depression,MOH + CM depression VS MOH + CM without depression,MOH + CM depression VS MOH + CM without depression,MOH + CM depression VS MOH + CM without depression,MOH + CM depression VS MOH + CM without depression,MOH + CM depression VS MOH + CM without depression
R habenula,0,0,5,-24,2,0.85*,0.475
L habenula,0,0,4,-24,2,1.99*,0.077
