Unnamed: 0,MI-NF,VI
Age,66.2 ± 8.1 (45.3–79.3),65.7 ± 8.8 (47.8–79.7)
Gender,"10 females, 12 males","10 females, 12 males"
Handedness,"2 left, 20 right","4 left, 18 right"
Onset side,"10 left, 12 right","11 left, 11 right"
H & Y,2.0 ± 0.2,2.1 ± 0.3
Duration (year),4.9 ± 3.1 (0.7–11),5.5 ± 4.7 (0.3–14.6)
LEDD (mg),323.1 ± 242.6 (0.0–870.0),439.9 ± 395.6 (0.0–1640.0)
MDS-UPDRS I,7.7 ± 4.9 (0–20),6.7 ± 4.4 (0–18)
MDS-UPDRS II,9.0 ± 4.7 (1–17),11.3 ± 5.6 (3–23)
MDS-UPDRS III (baseline),32.3 ± 8.1 (19–53),34.5 ± 9.6 (20–62)
MDS-UPDRS IV,1.6 ± 1.6 (0–5),1.2 ± 1.7 (0–5)
MoCA,28.3 ± 1.5 (25–30),27.8 ± 2.2 (23–30)
STAI-S,29.3 ± 6.7 (21–43),30.4 ± 9.6 (20–57)
STAI-T,33.3 ± 7.2 (22–48),35.9 ± 12.7 (21–63)
BDI-II,5.9 ± 3.9 (0–13),7.6 ± 6.2 (0–23)
Apathy,7.3 ± 4.8 (2–17),9.1 ± 5.2 (0–20)
PFS-16,2.3 ± 0.9 (1–3.9),2.2 ± 0.9 (1–3.9)
PDQ39-SI,14.4 ± 9.5 (0–41.3),16.1 ± 11.8 (3.9–43.4)
