Community,Networks,No. of nodes,AAL Regions
1,default mode and subcortical,3,"33, 71, 78"
2,default mode and bilateral limbic,15,"3, 5, 6, 21-28, 31, 32, 87, 88"
3,bilateral limbic and subcortical,7,"42, 73-78"
4,default mode and subcortical,3,"34, 72, 77"
5,motor and auditory,17,"1, 2, 17-20, 29, 30, 57, 58, 63, 69, 70, 79-82"
6,motor and subcortical,10,"1, 2, 57, 58, 69-72, 77, 78"
7,default mode and subcortical,3,"34, 72, 77"
8,default mode and subcortical,8,"3, 23, 31-34, 77, 78"
9,"cognitive control, bilateral limbic and default mode",12,"15, 16, 56, 66, 83-90"
10,default mode and subcortical,3,"34, 72, 77"
11,default mode,6,"35, 36, 46, 65, 67, 68"
12,bilateral limbic,9,37-42
13,cognitive control and default mode,12,"7-16, 61, 62, 90"
14,Visual,14,43-56
15,default mode and subcortical,3,"34, 72, 77"
