Seed,Unnamed: 1,Cluster size,Brain regions,Z-value,MNI coordinate (mm),MNI coordinate (mm).1,MNI coordinate (mm).2
PCC,Tai Chi Chuan > Control,518,R putamen/caudate,4.13,16,−6,12
,Control > Tai Chi Chuan,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
,Baduanjin > Control,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
,Control > Baduanjin,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
,Tai Chi Chuan > Baduanjin,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
,Baduanjin > Tai Chi Chuan,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
mPFC,Tai Chi Chuan > Control,649,R temporal pole/middle & inferior temporal gyrus,4.18,60,−6,−28
,Control > Tai Chi Chuan,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
,Baduanjin > Control,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
,Control > Baduanjin,1865,R orbital prefrontal gyrus,4.36,24,34,−22
,Control > Baduanjin,1865,R medial frontal gyrus,3.51,28,48,16
,Control > Baduanjin,1865,R putamen,3.61,22,4,−2
,Control > Baduanjin,1865,R anterior insula,3.23,42,−2,10
,Control > Baduanjin,753,L ACC,3.46,−8,30,20
,Control > Baduanjin,753,L anterior insula,3.06,−34,20,6
,Control > Baduanjin,753,R caudate,3.00,8,16,6
,Control > Baduanjin,539,R supramarginal gyrus,3.52,44,−32,50
,Tai Chi Chuan > Baduanjin,808,R putamen,3.83,22,4,−2
,Tai Chi Chuan > Baduanjin,808,R caudate,3.22,14,20,−4
,Baduanjin > Tai Chi Chuan,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold,No regions above the threshold
