Density = 0.2 Parameters,PD (n = 19) (mean ± SD),Control (n = 24) (mean ± SD),p-value???
Degree,18.58 ± 2.22,19.09 ± 2.01,0.443
Clustering coefficient,0.58 ± 0.04,0.59 ± 0.04,0.766
Local efficiency,0.73 ± 0.04,0.75 ± 0.04,0.191
Betweenness centrality,110.54 ± 16.71,97.39 ± 14.45,0.008???
Characteristic path length,2.31 ± 0.23,2.12 ± 0.13,0.001???
Global efficiency,0.50 ± 0.04,0.53 ± 0.04,0.019???
Modularity,0.32 ± 0.07,0.35 ± 0.06,0.116
Small-worldness,5.80 ± 0.55,5.79 ± 0.66,0.945
Assortativity,0.33 ± 0.13,0.26 ± 0.10,0.054
